"","Taxon","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density"
"1","Acacia.fimbriata",5,NA,6,21.1313288488754,8.88,NA
"2","Acmena.smithii",4,21.7242222222222,20,239.893016400627,9.14974537422924,0.647333333333333
"3","Acronychia.oblongifolia",2,20.725,20,14.3107843136667,14.6306891404816,0.67375
"4","Alangium.villosum",6,35.376875,20,191.78,17.7726204400914,0.556833333333333
"5","Alphitonia.excelsa",5,22.8609230769231,35,20.1637488062229,10.7194951001478,0.598
"6","Aphananthe.philippinensis",3,6.60535714283333,35,36.4741591356523,15.0920874637092,0.58125
"7","Archirhodomyrtus.beckleri",3,9.23016666666667,10,1.495,11.1642728551336,0.53
"8","Argyrodendron.trifoliolatum",3,21.177,40,110,11.5306313284086,0.762
"9","Arytera.divaricata",NA,38.1896666666667,30,59.7,10.9510776802351,0.6115
"10","Backhousia.myrtifolia",3,8.08766666666667,35,10.9135,10.261364975,0.8167649335
"11","Beilschmiedia.obtusifolia",2,26.5933333333333,35,384,10.9878035380727,0.637
"12","Breynia.oblongifolia",3,3.69066666666667,8,6.744,12.95235,0.62
"13","Calamus.muelleri",3,53.60875,10,443.925,13.04292449962,NA
"14","Callistemon.viminalis",7,2.96025,8,0.373767044854716,8.67904711033333,0.689
"15","Capparis.arborea",3,24.978125,10,49.052,8.89331889806067,0.681
"16","Cardiospermum.grandiflorum",6,8.81,10,34.692,23.97813288,NA
"17","Carex.appressa",4,28.4466666666667,1.5,0.9155,14.14,NA
"18","Castanospermum.australe",3,30.3818142857143,35,13487.4390112089,14.6521176784144,0.61475
"19","Casuarina.cunninghamiana",12,0.37940625,25,1.1005,2.8251909555,0.67705014825
"20","Casuarina.littoralis",NA,NA,12,3.119,4.57,NA
"21","Cayratia.clematidea",3,6.07666666666667,2,24.4743333333333,41.0871312695242,NA
"22","Celtis.sinensis",12,37.4115333333333,15,47.44,27.576388163956,0.59
"23","Cinnamomum.camphora",6,11.128,20,92.5,16.44677541,0.460635
"24","Cissus.antarctica",9,38.0355,2,65.4,16.0277824201773,0.545107896
"25","Cissus.hypoglauca",6,15.908,15,37.7593333333333,14.3654221673765,NA
"26","Cleistanthus.cunninghamii",2,20.461366667,25,NA,15.8479989782418,0.643725
"27","Clematis.aristata",4,26.5502857142857,8,3.993,21.9402300906107,0.2981
