Taxon
Andredera cordifoli
Aristolochia elegans
Asparagus plumosus
Calamus muelleri
Carronia multisepalea
Capparis velutina
Cardiospermum grandiflorum
Cayratia clematidea
Cissus antarctica
Cissus hypoglauca
Clematis aristata
Derris involuta
Desmodium spp
Dioscorea transversa
Elaeagnus triflora 
embelia australis
Flagellaria indica
Geitonoplesium cymosum
Hippocratea barbata
Ipomoea cairica
Legnephora moorei
Macfadyena unguis-cati
Maclura cochinchinensis
Marsdenia rostrata
Melodinus australis
Melodorum leichhardtii
Millettia megasperma
Morinda jasminoides
Pandorea pandorana
Parsonsia straminea
Passiflora edulis
Passiflora suberosa
Passiflora subpeltata
Piper hederaceum
Pothos longipes
Ripogonum spp
Rubus spp
Rubus moluccanus
Rubus rosifolius
Smilax australis
Solanum seaforthianum
Stephania japonica
Trophis scandens
