,flowering.start,flowering.end,flowering.duration,flowering source,flowering.duration,leaf.area,maximum.height,seed.mass,SLA,wood.density
Acmena.smithii,,,,,4,21.72422222,20,239.8930164,9.149745374,0.647333333
Acronychia.oblongifolia,,,,,2,20.725,20,14.31078431,14.63068914,0.67375
Alectryon.tomentosus,5,8,4,FLOYD AG,NA,23.625,20,23.71025529,NA,NA
Alphitonia.excelsa,11,3,5,http://www.florabank.org.au/lucid/key/species%20navigator/media/html/Alphitonia_excelsa.htm,NA,22.86092308,35,20.16374881,10.7194951,0.598
Aphananthe.philippinensis,9,11,3,FLOYD AG,NA,8.92,35,36.47415914,13.96258028,0.58125
Archirhodomyrtus.beckleri,,,,,3,9.230166667,10,1.495,11.16427286,0.53
Ardisia.crenata,,,,,NA,NA,NA,221,NA,NA
Aristolochia.elegans,10,3,6,http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Aristolochia_elegans.htm,NA,NA,NA,2.104,NA,NA
Arytera.distylis,9,10,2,FLOYD AG,NA,10.25,20,NA,NA,0.6321
Atractocarpus.chartaceus,,,,,4,11.96,4,NA,NA,NA
Backhousia.myrtifolia,,,,,3,8.087666667,35,10.9135,10.26136498,0.816764934
Beilschmiedia.obtusifolia,10,11,2,FLOYD AG,NA,26.59333333,35,384,10.98780354,0.637
Breynia.oblongifolia,,,,,3,3.690666667,8,6.744,12.95235,0.62
Calamus.muelleri,,,,,3,53.60875,NA,443.925,13.0429245,NA
Callerya.megasperma,,,,,3,9.72825,NA,7385.347116,NA,NA
Callistemon.viminalis,,,,,7,NA,NA,0.373767045,NA,0.689
Carronia.multisepalea,,,,,NA,45.535,NA,62.832,NA,NA
Castanospermum.australe,,,,,3,32.7298,35,13487.43901,11.96436009,0.61475
Casuarina.cunninghamiana,,,,,12,0.132333333,25,1.1005,2.883280076,0.677050148
Celtis.sinensis,,,,,12,93.2,15,47.44,19.66181675,0.59
Cinnamomum.camphora,9,2,6,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&card=T01,NA,NA,20,92.5,14.972,NA
Cinnamomum.oliveri,10,11,2,http://www.dpi.nsw.gov.au/__data/assets/pdf_file/0004/390055/NSW-Rainforest-Trees-Part-I-Family-Lauraceae.pdf,NA,24.285,25,NA,NA,0.473
Cissus.antarctica,,,,,9,38.0355,NA,65.4,16.02778242,0.545107896
Citronella.moorei,,,,,5,35.875,40,NA,NA,0.576
Cleistanthus.cunninghamii,8,9,2,FLOYD AG,NA,23.13042857,25,NA,11.95542308,0.643725
Commersonia.bartramia,12,2,3,https://www.rbgsyd.nsw.gov.au/annan/the_garden/Plant_of_the_Month/commersonia_bartramia,NA,52.69666667,25,9.5,11.50350857,0.4205
Croton.acronychioides,6,10,5,FLOYD AG,NA,19.6,14,NA,NA,NA
