"","Taxon","SLA","source"
"95","Alphitonia excelsa",7.972,"AUSTRAITS_dataset_52"
"254","Alphitonia excelsa",9.897,"AUSTRAITS_dataset_52"
"440","Alphitonia excelsa",7.57002271006813,"AUSTRAITS_dataset_43"
"847","Alphitonia excelsa",17.031,"AUSTRAITS_dataset_52"
"852","Alphitonia excelsa",12.4069478908189,"AUSTRAITS_dataset_43"
"1368","Alphitonia excelsa",9.44,"AUSTRAITS_dataset_32"
"2232","Alphitonia excelsa",9.06472401,"Lawson_field_work"
"1046","Cayratia clematidea",18.52,"AUSTRAITS_dataset_10"
"1228","Cayratia clematidea",59.0667454223272,"Gallagher_field_workPHD"
"1239","Cayratia clematidea",37.9218809252939,"Gallagher_field_workPHD"
"1401","Cayratia clematidea",49.189,"Gallagher_field_workPHD"
"145","Cissus hypoglauca",8.528,"AUSTRAITS_dataset_52"
"556","Cissus hypoglauca",13.22,"AUSTRAITS_dataset_10"
"758","Cissus hypoglauca",12.16,"AUSTRAITS_dataset_3"
"784","Cissus hypoglauca",15.833,"AUSTRAITS_dataset_52"
"1274","Cissus hypoglauca",26.6524520255863,"Gallagher_field_workPHD"
"1275","Cissus hypoglauca",19.657951641439,"Gallagher_field_workPHD"
"1276","Cissus hypoglauca",12.5078173858662,"Gallagher_field_workPHD"
"1277","Cissus hypoglauca",12.0889748549323,"Gallagher_field_workPHD"
"1278","Cissus hypoglauca",10.8260257659413,"Gallagher_field_workPHD"
"1387","Cissus hypoglauca",12.18,"Gallagher_field_workPHD"
"881","Clematis aristata",30.771,"AUSTRAITS_dataset_8"
"1281","Clematis aristata",13.294336612603,"Gallagher_field_workPHD"
"1282","Clematis aristata",12.8155837498398,"Gallagher_field_workPHD"
"1414","Clematis aristata",30.88,"AUSTRAITS_dataset_10"
"755","Elaeocarpus grandis",8.19672131147541,"AUSTRAITS_dataset_32"
"1380","Elaeocarpus grandis",19.6078,"AUSTRAITS_dataset_32"
"826","Ficus fraseri",22.428,"AUSTRAITS_dataset_28"
"917","Ficus fraseri",9.902,"AUSTRAITS_dataset_28"
"970","Ficus fraseri",14.414,"AUSTRAITS_dataset_28"
"1067","Ficus fraseri",10.891,"AUSTRAITS_dataset_28"
"1329","Ficus fraseri",18.3823529411765,"Gallagher_field_workPHD"
"171","Hippocratea barbata",38.669,"AUSTRAITS_dataset_8"
"1163","Hippocratea barbata",14.5369966564908,"Gallagher_field_workPHD"
"27","Lomandra longifolia",5.56,"AUSTRAITS_dataset_10"
"32","Lomandra longifolia",1.656,"AUSTRAITS_dataset_8"
"187","Lomandra longifolia",3.377,"AUSTRAITS_dataset_8"
"512","Lomandra longifolia",2.477,"AUSTRAITS_dataset_8"
"632","Lomandra longifolia",6.431,"AUSTRAITS_dataset_8"
"769","Lomandra longifolia",1.824,"AUSTRAITS_dataset_8"
"1012","Lomandra longifolia",4.1991,"AUSTRAITS_dataset_32"
"1122","Lomandra longifolia",7.007,"AUSTRAITS_dataset_8"
"1365","Lomandra longifolia",5.3576,"AUSTRAITS_dataset_32"
"2247","Lomandra longifolia",12.89337361,"Lawson_field_work"
"297","Lophostemon suaveolens",10.493,"AUSTRAITS_dataset_52"
"718","Lophostemon suaveolens",7.30460189919649,"AUSTRAITS_dataset_61"
"851","Lophostemon suaveolens",5.82784544553878,"AUSTRAITS_dataset_39"
"1060","Lophostemon suaveolens",16.1812297734628,"AUSTRAITS_dataset_43"
"705","Marsdenia rostrata",30.796,"AUSTRAITS_dataset_8"
"1175","Marsdenia rostrata",34.6860908775581,"Gallagher_field_workPHD"
"1176","Marsdenia rostrata",25.5427841634738,"Gallagher_field_workPHD"
"1177","Marsdenia rostrata",24.1196333815726,"Gallagher_field_workPHD"
"1178","Marsdenia rostrata",22.5275963054742,"Gallagher_field_workPHD"
"1179","Marsdenia rostrata",17.1909919202338,"Gallagher_field_workPHD"
"1372","Marsdenia rostrata",11.0345,"AUSTRAITS_dataset_32"
"1193","Myrsine variabilis",17.9565451607111,"Gallagher_field_workPHD"
"1194","Myrsine variabilis",12.4626121635095,"Gallagher_field_workPHD"
"1196","Myrsine variabilis",9.26612305411416,"Gallagher_field_workPHD"
"1197","Myrsine variabilis",8.76731544800982,"Gallagher_field_workPHD"
"2252","Myrsine variabilis",10.0098011,"Lawson_field_work"
"1","Notelaea longifolia",5.5764,"AUSTRAITS_dataset_12"
"2","Notelaea longifolia",5.8369,"AUSTRAITS_dataset_12"
"1199","Notelaea longifolia",23.6630383341221,"Gallagher_field_workPHD"
"1200","Notelaea longifolia",10.9301563012351,"Gallagher_field_workPHD"
"1201","Notelaea longifolia",10.1936799184506,"Gallagher_field_workPHD"
"1202","Notelaea longifolia",10.0371374084111,"Gallagher_field_workPHD"
"1203","Notelaea longifolia",8.2815734989648,"Gallagher_field_workPHD"
"1204","Notelaea longifolia",7.27696114102751,"Gallagher_field_workPHD"
"1205","Notelaea longifolia",6.19195046439628,"Gallagher_field_workPHD"
"2254","Notelaea longifolia",8.496776279,"Lawson_field_work"
"12","Pandorea pandorana",24.308,"AUSTRAITS_dataset_8"
"38","Pandorea pandorana",29.051,"AUSTRAITS_dataset_8"
"128","Pandorea pandorana",41.995,"AUSTRAITS_dataset_8"
"152","Pandorea pandorana",18.587,"AUSTRAITS_dataset_8"
"1208","Pandorea pandorana",27.3747604708459,"Gallagher_field_workPHD"
"1209","Pandorea pandorana",10.1061141990905,"Gallagher_field_workPHD"
"1396","Pandorea pandorana",28.485,"Gallagher_field_workPHD"
"1411","Pandorea pandorana",28.62,"AUSTRAITS_dataset_10"
"2256","Pandorea pandorana",34.62922997,"Lawson_field_work"
"98","Parsonsia straminea",37.305,"AUSTRAITS_dataset_8"
"165","Parsonsia straminea",29.981,"AUSTRAITS_dataset_8"
"509","Parsonsia straminea",12.204,"AUSTRAITS_dataset_52"
