"","Taxon","leaf.area","source"
"12","Araucaria cunninghamii",0.219,"AUSTRAITS_dataset_49"
"20","Araucaria cunninghamii",0.75,"AUSTRAITS_dataset_68"
"588","Calamus muelleri",21.95,"Gallagher_field_workPHD"
"1029","Calamus muelleri",47.25,"AUSTRAITS_dataset_68"
"1128","Calamus muelleri",90.56,"AUSTRAITS_dataset_68"
"1157","Calamus muelleri",54.675,"AUSTRAITS_dataset_68"
"2","Casuarina cunninghamiana",0.019,"AUSTRAITS_dataset_29"
"7","Casuarina cunninghamiana",0.188,"AUSTRAITS_dataset_8"
"9","Casuarina cunninghamiana",0.19,"AUSTRAITS_dataset_68"
"22","Clematis aristata",9,"AUSTRAITS_dataset_10"
"273","Clematis aristata",10.5,"AUSTRAITS_dataset_49"
"654","Clematis aristata",24.31,"Gallagher_field_workPHD"
"655","Clematis aristata",24.312,"AUSTRAITS_dataset_68"
"875","Clematis aristata",34,"AUSTRAITS_dataset_68"
"878","Clematis aristata",34.07,"AUSTRAITS_dataset_8"
"1049","Clematis aristata",49.66,"Gallagher_field_workPHD"
"182","Dioscorea transversa",8.03,"AUSTRAITS_dataset_68"
"183","Dioscorea transversa",8.035,"AUSTRAITS_dataset_8"
"330","Dioscorea transversa",12.777,"AUSTRAITS_dataset_8"
"331","Dioscorea transversa",12.78,"AUSTRAITS_dataset_68"
"388","Dioscorea transversa",15.65,"Gallagher_field_workPHD"
"432","Dioscorea transversa",17.12,"AUSTRAITS_dataset_68"
"559","Dioscorea transversa",20.78,"Gallagher_field_workPHD"
"712","Dioscorea transversa",26.03,"AUSTRAITS_dataset_68"
"771","Dioscorea transversa",28.33,"AUSTRAITS_dataset_68"
"845","Dioscorea transversa",32.13,"AUSTRAITS_dataset_68"
"1010","Dioscorea transversa",44.1,"AUSTRAITS_dataset_49"
"217","Endiandra sieberi",9.1,"AUSTRAITS_dataset_49"
"585","Endiandra sieberi",21.61,"Gallagher_field_workPHD"
