"","Taxon","seed.mass","source"
"1541","Acmena smithii",186.209049201881,"AUSTRAITS_dataset_17"
"15411","Acmena smithii",186.209049201881,"AUSTRAITS_dataset_17"
"1545","Acmena smithii",173,"AUSTRAITS_dataset_53"
"1546","Acmena smithii",360.47,"Gallagher_field_workPHD"
"2270","Acmena smithii",0.32,"Kyle_Hunter Plant Traits"
"963","Acronychia oblongifolia",2.167,"AUSTRAITS_dataset_10"
"1550","Acronychia oblongifolia",15.38,"Gallagher_field_workPHD"
"2271","Acronychia oblongifolia",146.015,"Moles 2004 Seed database"
"1562","Alectryon tomentosus",13.5305105862629,"AUSTRAITS_dataset_17"
"15621","Alectryon tomentosus",13.5305105862629,"AUSTRAITS_dataset_17"
"1564","Alectryon tomentosus",33.89,"AUSTRAITS_dataset_53"
"1575","Aphananthe philippinensis",28.8403182713047,"AUSTRAITS_dataset_17"
"15751","Aphananthe philippinensis",28.8403182713047,"AUSTRAITS_dataset_17"
"1580","Aphananthe philippinensis",44.108,"AUSTRAITS_dataset_53"
"1581","Aphananthe philippinensis",0.1,"Gallagher_field_workPHD"
"765","Breynia oblongifolia",7.828,"AUSTRAITS_dataset_10"
"1622","Breynia oblongifolia",5.66,"AUSTRAITS_dataset_53"
"2274","Breynia oblongifolia",44.195,"PIREL Seed Trait Database 02 08 2013"
"1627","Calamus muelleri",211.85,"Gallagher_field_workPHD"
"1628","Calamus muelleri",676,"Gallagher_field_workPHD"
"650","Carex appressa",1.001,"AUSTRAITS_dataset_10"
"1653","Carex appressa",0.83,"AUSTRAITS_dataset_53"
"2275","Carex appressa",17,"Kew SID"
"1658","Castanospermum australe",8665.64104483544,"AUSTRAITS_dataset_17"
"16581","Castanospermum australe",8665.64104483544,"AUSTRAITS_dataset_17"
"813","Castanospermum australe",23561.945,"AUSTRAITS_dataset_49"
"1430","Castanospermum australe",7722.17,"AUSTRAITS_dataset_52"
"1431","Castanospermum australe",14000,"AUSTRAITS_dataset_52"
"1667","Casuarina cunninghamiana",1.57,"AUSTRAITS_dataset_53"
"2276","Casuarina cunninghamiana",43.52,"Kew SID, as N. microcarpa var. microcarpa"
"208","Cayratia clematidea",6.283,"AUSTRAITS_dataset_49"
"1046","Cayratia clematidea",12.31,"AUSTRAITS_dataset_10"
"1673","Cayratia clematidea",27.923,"AUSTRAITS_dataset_6"
"1675","Cayratia clematidea",33.19,"Gallagher_field_workPHD"
"1683","Cissus antarctica",65.4,"AUSTRAITS_dataset_53"
"2277","Cissus antarctica",18.9575,"Moles 2004 Seed database"
"276","Clematis aristata",12.566,"AUSTRAITS_dataset_49"
"1414","Clematis aristata",2.964,"AUSTRAITS_dataset_10"
"1699","Clematis aristata",0.295,"AUSTRAITS_dataset_53"
"1700","Clematis aristata",0.29,"AUSTRAITS_dataset_6"
"1701","Clematis aristata",3.85,"Gallagher_field_workPHD"
"2278","Clematis aristata",8.4,"Kew SID"
"1442","Commersonia bartramia",13,"AUSTRAITS_dataset_52"
"1706","Commersonia bartramia",6,"AUSTRAITS_dataset_53"
"363","Cryptocarya glaucescens",323.99,"AUSTRAITS_dataset_10"
"2279","Cryptocarya glaucescens",65.4,"Kew SID"
"190","Derris involuta",125.664,"AUSTRAITS_dataset_49"
"1730","Derris involuta",22.45,"AUSTRAITS_dataset_6"
"1013","Dioscorea transversa",4.712,"AUSTRAITS_dataset_49"
"1733","Dioscorea transversa",21.307,"AUSTRAITS_dataset_6"
"1734","Dioscorea transversa",21.31,"Gallagher_field_workPHD"
"1772","Embelia australiana",24.17,"Gallagher_field_workPHD"
"1773","Embelia australiana",94.81,"Gallagher_field_workPHD"
"1798","Ficus coronata",0.57,"Gallagher_field_workPHD"
"2280","Ficus coronata",15.46,"Kew SID"
"1822","Ficus watkinsiana",2.856,"AUSTRAITS_dataset_53"
"1823","Ficus watkinsiana",1.1,"Gallagher_field_workPHD"
"1419","Geitonoplesium cymosum",3.776,"AUSTRAITS_dataset_10"
"1846","Geitonoplesium cymosum",15.32,"AUSTRAITS_dataset_6"
"2281","Geitonoplesium cymosum",11.33,"Moles 2004 Seed database"
"1859","Glochidion ferdinandi",2.46467673086565,"AUSTRAITS_dataset_17"
"18591","Glochidion ferdinandi",2.46467673086565,"AUSTRAITS_dataset_17"
"448","Glochidion ferdinandi",15.751,"AUSTRAITS_dataset_10"
"1858","Glochidion ferdinandi",7.7,"AUSTRAITS_dataset_53"
"1860","Glochidion ferdinandi",2.02,"Gallagher_field_workPHD"
"2282","Glochidion ferdinandi",20,"Kew SID"
"1153","Legnephora moorei",226.195,"AUSTRAITS_dataset_49"
"1472","Legnephora moorei",36,"AUSTRAITS_dataset_52"
"1917","Legnephora moorei",20,"AUSTRAITS_dataset_53"
"492","Ligustrum lucidum",21.379,"AUSTRAITS_dataset_10"
"1474","Ligustrum lucidum",16,"AUSTRAITS_dataset_52"
"1924","Ligustrum lucidum",31,"AUSTRAITS_dataset_53"
"2284","Ligustrum lucidum",0.85,"PIREL Seed Trait Database 02 08 2013"
"164","Ligustrum sinense",22.477,"AUSTRAITS_dataset_10"
"1476","Ligustrum sinense",11,"AUSTRAITS_dataset_52"
"1927","Ligustrum sinense",17,"AUSTRAITS_dataset_53"
"2285","Ligustrum sinense",0.29,"Kew SID"
"27","Lomandra longifolia",11.33,"AUSTRAITS_dataset_10"
"2286","Lomandra longifolia",41,"PIREL Seed Trait Database 02 08 2013"
"1932","Lophostemon confertus",8.9202493587103,"AUSTRAITS_dataset_17"
"19321","Lophostemon confertus",8.9202493587103,"AUSTRAITS_dataset_17"
"1939","Lophostemon confertus",4.08,"AUSTRAITS_dataset_53"
"2287","Lophostemon confertus",40.76,"Kew SID"
"1947","Lophostemon suaveolens",0.46,"AUSTRAITS_dataset_53"
"2288","Lophostemon suaveolens",1.03,"Moles 2004 Seed database"
"1969","Melaleuca quinquenervia",0.0875269524561155,"AUSTRAITS_dataset_17"
"19691","Melaleuca quinquenervia",0.0875269524561155,"AUSTRAITS_dataset_17"
"1973","Melaleuca quinquenervia",0.22,"AUSTRAITS_dataset_53"
"2289","Melaleuca quinquenervia",5.882352941,"Floyd 1989"
"1976","Melia azedarach",22.1274976124458,"AUSTRAITS_dataset_17"
"19761","Melia azedarach",22.1274976124458,"AUSTRAITS_dataset_17"
"1486","Melia azedarach",530,"AUSTRAITS_dataset_52"
"1980","Melia azedarach",412,"AUSTRAITS_dataset_53"
"1409","Morinda jasminoides",5.445,"AUSTRAITS_dataset_10"
"1492","Morinda jasminoides",8.4,"AUSTRAITS_dataset_52"
"1997","Morinda jasminoides",7.9,"AUSTRAITS_dataset_53"
"2290","Morinda jasminoides",0.67,"Kew SID"
"2002","Myrsine variabilis",29.6,"Gallagher_field_workPHD"
"2291","Myrsine variabilis",0.84,"Kew SID"
"2004","Neolitsea dealbata",146,"AUSTRAITS_dataset_53"
"2292","Neolitsea dealbata",19.72,"Kew SID"
"2010","Notelaea longifolia",151.46,"Gallagher_field_workPHD"
"2293","Notelaea longifolia",18.2,"Moles 2004 Seed database"
"2012","Notelaea microcarpa",43.522,"AUSTRAITS_dataset_53"
"2294","Notelaea microcarpa",17,"Kew SID"
"519","Pandorea pandorana",50.265,"AUSTRAITS_dataset_49"
"1411","Pandorea pandorana",5.215,"AUSTRAITS_dataset_10"
"2021","Pandorea pandorana",3.8,"AUSTRAITS_dataset_53"
"2295","Pandorea pandorana",0.313,"Moles 2004 Seed database"
"1410","Parsonsia straminea",10.344,"AUSTRAITS_dataset_10"
"1500","Parsonsia straminea",7.8,"AUSTRAITS_dataset_52"
"2033","Parsonsia straminea",8.4,"AUSTRAITS_dataset_53"
"2296","Parsonsia straminea",216.49,"Kew SID"
"1404","Passiflora edulis",11.502,"AUSTRAITS_dataset_10"
"2037","Passiflora edulis",15.46,"AUSTRAITS_dataset_53"
"2297","Passiflora edulis",4.86,"Kew SID as Trema tomentosa var. viridis"
"2039","Passiflora suberosa",2.962,"AUSTRAITS_dataset_53"
"2040","Passiflora suberosa",39.9,"AUSTRAITS_dataset_6"
"2100","Rhodomyrtus psidioides",5.883,"AUSTRAITS_dataset_53"
"2101","Rhodomyrtus psidioides",2.47,"Gallagher_field_workPHD"
"184","Rhodosphaera rhodanthema",62.832,"AUSTRAITS_dataset_49"
"2106","Rhodosphaera rhodanthema",448.871,"AUSTRAITS_dataset_53"
"1515","Rubus moluccanus",0.85,"AUSTRAITS_dataset_52"
"2299","Rubus moluccanus",10.25641026,"Floyd 1989"
"200","Smilax australis",29.809,"AUSTRAITS_dataset_10"
"2135","Smilax australis",40.76,"AUSTRAITS_dataset_6"
"2300","Smilax australis",323.99,"Moles 2004 Seed database"
"2184","Syzygium oleosum",180.151792521928,"AUSTRAITS_dataset_17"
"21841","Syzygium oleosum",180.151792521928,"AUSTRAITS_dataset_17"
"2187","Syzygium oleosum",216.49,"AUSTRAITS_dataset_53"
"2302","Syzygium oleosum",0.631,"Moles 2004 Seed database"
"1529","Toona ciliata",2,"AUSTRAITS_dataset_52"
"2201","Toona ciliata",125,"AUSTRAITS_dataset_53"
"2205","Trema tomentosa",2.2,"AUSTRAITS_dataset_53"
"2206","Trema tomentosa",4.86,"Gallagher_field_workPHD"
"2303","Trema tomentosa",7.9,"Kew SID"
"2214","Trophis scandens",80.55,"Gallagher_field_workPHD"
"2305","Trophis scandens",15.751,"Moles 2004 Seed database"
