"","Taxon","wood.density","source"
"415","Acronychia oblongifolia",0.5375,"AUSTRAITS_dataset_49"
"2312","Acronychia oblongifolia",0.81,"Ash J, Helman C. 1990.  Floristics and vegetation biomass of a forest catchment, Kioloa, south coastal New South Wales. Cunninghamia 2: 167-182"
"327","Cleistanthus cunninghamii",0.7869,"AUSTRAITS_dataset_49"
"619","Cleistanthus cunninghamii",0.486,"AUSTRAITS_dataset_28"
"697","Cleistanthus cunninghamii",0.569,"AUSTRAITS_dataset_28"
"993","Cleistanthus cunninghamii",0.733,"AUSTRAITS_dataset_28"
"774","Polyscias elegans",0.4,"AUSTRAITS_dataset_49"
"918","Polyscias elegans",0.22,"AUSTRAITS_dataset_61"
"2060","Polyscias elegans",0.41,"AUSTRAITS_dataset_34"
"2061","Polyscias elegans",0.413,"AUSTRAITS_dataset_34"
"314","Syzygium oleosum",0.79,"AUSTRAITS_dataset_49"
"2181","Syzygium oleosum",0.883,"AUSTRAITS_dataset_34"
"2301","Syzygium oleosum",0.58133195,"J. Lawson"
