"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","leaf.area",0.000558798652446568,0.24937,0.000141140919392396,0.3511,0.00287296401932516,0.00130555350437966
"value36","wood.density",0.0403611269573443,0.096294,0.00816623723385965,0.20905,0.0452533847703558,0.010791099201886
"value35","flowering.duration",0.160597638766469,0.046323,0.0235769475296149,0.16707,0.165058684287759,0.0249242016741643
"value34","exotics",0,1,0,1,0,0
"value33","richness",0.0025758652528106,0.19658,0.00348263486377737,0.24126,0.00543199495436551,0.00536906208165677
"value32","redun",0.00397343579980738,0.18114,0.0156778636738451,0.18348,0.00629677544590524,0.0175782107858263
"value31","FunRao",0.0156477252213446,0.13129,0.0489127018558146,0.13688,0.0206773511853482,0.0489127018558146
"value30","simpson",0.00408439488383042,0.18016,0.0114574952170453,0.19588,0.00629677544590524,0.0135234290705663
"value29","nbsp",0.00341910248255361,0.18651,0.00328884728067216,0.24338,0.00575030872065834,0.0052907543210813
"value28","regulation",0.0304445129858063,0.1174,0.00324126139899781,0.26643,0.0375482326824944,0.0052907543210813
"value27","M_MaxM",0.0331863587104602,0.10352,0.000548633841799611,0.30667,0.0389723955142377,0.00184540474059869
"value26","M_MDFM",0.52605762741084,0.0096392,0.0116959386556249,0.19507,0.52605762741084,0.0135234290705663
"value25","PS2YrARI",0.110471139740145,0.059531,0.0104329229286457,0.19955,0.116783776296725,0.0133109706330997
"value24","CVAnnBFI",0.000299290647627555,0.27016,0.00106914996852709,0.28373,0.00184562566036992,0.00263723658903348
"value23","MRateFall",0.00135371963675994,0.21912,3.90379055111704e-06,0.45528,0.00449472125165144,7.22201251956653e-05
"value22","MRateRise",0.00212545380114035,0.20336,2.73436553232912e-05,0.40103,0.00524278604281286,0.000337238415653925
"value21","CVAnnLSMeanDur",0.000171803200564304,0.28825,0.00047074940319553,0.31183,0.00127134368417585,0.00177181035877609
"value20","CVAnnLSNum",0.00293895034641151,0.1919,0.00598058911244206,0.22098,0.00543705814086129,0.00851083835232139
"value19","LSMeanDur",0.0337058555798813,0.10295,0.000186515040162171,0.34222,0.0389723955142377,0.00138021129720007
"value18","CVMDFDry",0.0282698779758757,0.10945,0.00186113755082762,0.2641,0.0360684650037035,0.00394144727835889
"value17","MDFAnnZer",0.0111183332436881,0.14384,0.00659977637087854,0.21723,0.015236234445054,0.00904413798972244
"value16","soil_phc",0.00145774743296803,0.21655,0.00520565871916504,0.22624,0.00449472125165144,0.00770437490436426
"value15","soil_nto",0.0822401772240861,0.070178,0.0295221869969223,0.15788,0.0894966634497407,0.0303422477468368
"value14","soil_ece",0.000771086997446668,0.23847,0.002258227712409,0.25713,0.0031700243228363,0.00397878215995871
"value13","soil_awc",0.00258135973298337,0.1965,0.00221571975499512,0.25781,0.00543199495436551,0.00397878215995871
"value12","clim_tsea",6.67295957479026e-05,0.31818,0.000373461331671965,0.31956,0.000924885642480774,0.00177181035877609
"value11","clim_trng",8.05641059302302e-05,0.31231,0.000431512964796517,0.31474,0.000924885642480774,0.00177181035877609
"value10","clim_tmin",0.00264791627549523,0.1956,0.0109343605507349,0.19771,0.00543199495436551,0.0134857113459063
"value9","clim_tmax",0.0048717943561148,0.17382,0.0188385182650985,0.17614,0.00695682863795046,0.0205007404649602
"value8","clim_pwrm",0.00324120420332462,0.18842,0.00202398644023835,0.26108,0.00571069312014337,0.00394144727835889
"value7","clim_pwmt",0.0012357498822573,0.22228,0.000353730361853825,0.32136,0.00449472125165144,0.00177181035877609
"value6","clim_pwet",0.00488858228612735,0.1737,0.00195187936149988,0.26239,0.00695682863795046,0.00394144727835889
"value5","clim_prec",0.00278940281440391,0.19376,0.000831071109204543,0.29248,0.00543199495436551,0.00236535623388985
"value4","clim_pdry",0.00182623192017425,0.20869,0.00130951024850085,0.27661,0.00482647007474622,0.00302824244965821
"value3","clim_pdmt",0.000621181409583819,0.2458,0.000906887620679433,0.28946,0.00287296401932516,0.00239677442608136
"value2","clim_pcld",0.00171468774079162,0.21089,0.000603985433485355,0.30341,0.00482647007474622,0.00186228841991318
"value1","clim_dnrg",9.99876370249485e-05,0.30552,0.000478867664534078,0.31125,0.000924885642480774,0.00177181035877609
