"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","richness.chao",9.36531528113867e-12,0.67311,3.49775866262463e-11,0.69101,1.19335445485135e-10,4.89686212767448e-10
"value41","richness.ACE",4.99664310083175e-07,0.45577,1.03264095972954e-07,0.54374,3.49765017058222e-06,8.67418406172813e-07
"value40","richness.stand",0,1,0,1,0,0
"value39","leaf.area",0.00459459375353535,0.17593,0.00321532490755247,0.24421,0.0070305301868606,0.00540174584468815
"value38","seed.mass",0.196895251622074,0.039328,0.0117506704196499,0.19489,0.206740014203178,0.0151975639382772
"value37","exotics",0.00858867186476954,0.15328,0.0139312534605289,0.18817,0.0120241406106774,0.0172091954512416
"value36","richness",1.79963405709695e-12,0.69756,1.33271753871103e-11,0.70522,3.7792315199036e-11,2.79870683129317e-10
"value35","redun",0.00109983590324756,0.2263,0.001263890739427,0.27786,0.00209968672438171,0.00230797439373626
"value34","FunRao",0.0203070033886403,0.12168,0.0397822200578591,0.14554,0.0266529419475904,0.0428423908315406
"value33","simpson",0.00242585681824538,0.1987,0.000111673519481259,0.35847,0.00442982549418722,0.000246857253590152
"value32","nbsp",1.13652805223938e-11,0.67011,1.17043386255776e-10,0.67226,1.19335445485135e-10,1.22895555568565e-09
"value31","FRic",4.63741015946828e-08,0.51277,1.36299749518181e-07,0.53752,3.89542453395335e-07,9.54098246627265e-07
"value30","C_MinM",0.0224881581767087,0.11791,0.0435430747539575,0.14177,0.028621292224902,0.0446051009674686
"value29","M_MDFM",0.0378408738974585,0.098675,0.0225945705909294,0.1688,0.0429545055052232,0.025647890941055
"value28","PS1YrARI",0.567117529577072,0.0078606,0.0468994594798776,0.13865,0.580949664444805,0.0468994594798776
"value27","MRateRise",0.646580951972998,0.0050528,0.0397797565316855,0.14554,0.646580951972998,0.0428423908315406
"value26","CVAnnHSPeak",0.0838915048740999,0.069456,0.0119409430943607,0.19426,0.0927221895976894,0.0151975639382772
"value25","HSMeanDur",0.0284181681549787,0.10926,0.00785934535936438,0.21053,0.0351047959561502,0.0107064872919254
"value24","soil_soc",0.00468702012457373,0.17522,0.017746350105213,0.17853,0.0070305301868606,0.0207040751227485
"value23","soil_slt",0.000175808411320062,0.2875,0.000209278002506445,0.33851,0.000388629119760137,0.000439483805263534
"value22","soil_pto",0.0360102730383097,0.10051,0.0428271060447502,0.14246,0.0420119852113613,0.0446051009674686
"value21","soil_phc",1.79915327450163e-05,0.35784,8.43553252412596e-05,0.36719,4.19802430717046e-05,0.000208407274125465
"value20","soil_ece",1.30976319575076e-05,0.36713,4.85518192173997e-05,0.38401,3.43812838884575e-05,0.000127448525445674
"value19","soil_bdw",0.00305757661288369,0.1905,0.00790240728689735,0.21032,0.00535075907254646,0.0107064872919254
"value18","soil_awc",0.000437331940047865,0.25759,0.00222488616477023,0.25766,0.000874663880095729,0.00389355078834791
"value17","clim_twet",0.0351701904259835,0.10138,0.00527291703826593,0.22575,0.0420119852113613,0.00790937555739889
"value16","clim_tsea",4.24951305311158e-06,0.39909,1.27678675306124e-05,0.42287,1.37291960177451e-05,4.87500396623381e-05
"value15","clim_trng",3.26370998633954e-06,0.40637,1.13733827895331e-05,0.42612,1.14229849521884e-05,4.7768207716039e-05
"value14","clim_tmin",0.000218499055566959,0.28046,0.00116891278956615,0.28061,0.000458848016690614,0.00223156078008082
"value13","clim_tmax",0.00338207786787518,0.1869,0.00708286574099006,0.21453,0.00546335655579836,0.0102579434869511
"value12","clim_tdry",0.0128105450455135,0.13864,0.00491098032245638,0.22843,0.0173562223197279,0.0078007885719174
"value11","clim_tcld",0.00523552409677149,0.17123,0.00501479265337547,0.22764,0.00758248317463457,0.0078007885719174
"value10","clim_tavg",0.139535979978532,0.051238,0.0166116656591786,0.18118,0.150269516899957,0.0199339987910143
"value9","clim_pwrm",5.65394482003627e-06,0.39113,3.82561449611795e-05,0.39113,1.58310454961016e-05,0.000107117205891302
"value8","clim_pwmt",1.13002528667489e-06,0.43478,7.89979662462472e-06,0.43623,6.78015172004932e-06,4.29307032396598e-05
"value7","clim_pwet",2.80287824408778e-06,0.41053,1.96842696536119e-05,0.41055,1.14229849521884e-05,6.88949437876416e-05
"value6","clim_prec",3.15590458919075e-06,0.40729,2.15460319342903e-05,0.40795,1.14229849521884e-05,6.96102570184764e-05
"value5","clim_pdry",5.41964863912422e-06,0.39232,3.56977212052808e-05,0.39319,1.58310454961016e-05,0.000107093163615842
"value4","clim_pdmt",1.64982501924859e-05,0.36039,0.000102192610797717,0.36124,4.07603828284946e-05,0.000238449425194673
"value3","clim_pcld",1.29597894572678e-06,0.43118,9.19943640849853e-06,0.43202,6.80388946506561e-06,4.29307032396598e-05
"value2","clim_isot",0.00332116618288981,0.18755,0.000435912191871607,0.3144,0.00546335655579836,0.000871824383743213
"value1","clim_dnrg",2.40176619098891e-06,0.41472,8.41422695973984e-06,0.43449,1.12082422246149e-05,4.29307032396598e-05
