"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","leaf.area",0.0149136685145433,0.13305,0.00421474498867278,0.23417,0.0202399786983087,0.00572001105605591
"value37","seed.mass",0.173193636498444,0.043711,0.00201603392406668,0.26123,0.188038805341168,0.00306437156458136
"value36","exotics",0.00257586525281061,0.19658,0.00400053431130723,0.23611,0.00444922180030924,0.00563038162332129
"value35","richness",0,1,0,1,0,0
"value34","redun",2.75219157722178e-05,0.34521,4.34736749114698e-07,0.51059,6.53645499590173e-05,2.75333274439309e-06
"value33","FunRao",0.0173329807021444,0.12752,0.0371053066526256,0.14844,0.0219551088893829,0.0391667125777715
"value32","simpson",0.000371193561764875,0.26305,1.83144981694999e-07,0.5308,0.000742387123529751,1.73987732610249e-06
"value31","nbsp",2.26340408114927e-34,0.97239,4.96884855000888e-33,0.97344,4.30046775418362e-33,9.44081224501687e-32
"value30","FRic",1.18315303044085e-11,0.66949,1.22379073897309e-11,0.70644,1.49866050522507e-10,1.55013493603259e-10
"value29","M_MaxM",0.00374602070218784,0.18325,0.00105553246394257,0.28418,0.00618907768187555,0.00174392320129641
"value28","M_MinM",0.0164513192143175,0.12944,0.0362524163868491,0.1494,0.0215569010394505,0.0391667125777715
"value27","M_MDFM",0.0318482398105439,0.10505,0.00113598647949129,0.28161,0.0366737306909293,0.00179864525919454
"value26","CVAnnBFI",0.022633113760624,0.11767,0.0423667637081178,0.14291,0.026876822590741,0.0435118113759048
"value25","CVAnnLSMeanDur",0.0215871051980852,0.11942,0.048505326771386,0.13724,0.0264616128234593,0.048505326771386
"value24","CVAnnHSPeak",0.779662439942065,0.001884,0.0280416542266118,0.15999,0.779662439942065,0.0322903897154924
"value23","HSMeanDur",0.408709176619472,0.016311,0.0087647157440548,0.20632,0.419755370582161,0.011105593714858
"value22","soil_soc",0.00219534074303874,0.20222,0.00876757398541419,0.20631,0.00417114741177361,0.011105593714858
"value21","soil_slt",0.0124184122353841,0.13978,0.0337395318564008,0.15238,0.0174777653683184,0.0377088885453892
"value20","soil_phc",2.79152173333518e-06,0.41064,1.91091340519777e-05,0.4114,8.15983275897975e-06,4.27145349397149e-05
"value19","soil_ece",8.54277853707429e-07,0.44206,6.25222015623305e-06,0.44262,3.79299164647547e-06,2.15985787215323e-05
"value18","soil_bdw",0.00453718853753532,0.17638,0.0174426588182689,0.17922,0.00689652657705368,0.0207131573466943
"value17","soil_awc",0.000160003719834767,0.29054,0.000874212157198122,0.29073,0.000340819324453207,0.00151000281697857
"value16","clim_tsea",1.52028103982615e-06,0.42697,1.05474188039348e-05,0.42822,5.77706795133939e-06,3.34001595457936e-05
"value15","clim_trng",1.68602214490268e-06,0.42422,1.19877142263243e-05,0.42464,5.82444013693654e-06,3.38009823730707e-05
"value14","clim_tmin",0.00016144073263573,0.29025,0.000464921063355447,0.31225,0.000340819324453207,0.000883350020375349
"value13","clim_tmax",0.00242616702090831,0.19869,0.0104987750690806,0.1993,0.00439020699021503,0.0128694662137117
"value12","clim_tdry",0.0106402738398343,0.14545,0.000278666292249256,0.32921,0.0155511694582193,0.00058829550585954
"value11","clim_tcld",0.00437912913082313,0.17766,0.000452401714724196,0.31316,0.00689652657705368,0.000883350020375349
"value10","clim_tavg",0.138941290018915,0.051388,0.000595366857107164,0.3039,0.155287324138787,0.00107733050333677
"value9","clim_pwrm",2.69666688135523e-07,0.47114,1.25644557475383e-06,0.48459,2.04946682982998e-06,6.82070454866364e-06
"value8","clim_pwmt",9.01812211806278e-08,0.49742,3.66138255551226e-07,0.51468,8.56721601215964e-07,2.75333274439309e-06
"value7","clim_pwet",3.96079295335207e-07,0.46161,1.51832052739372e-06,0.47981,2.50850220378964e-06,7.21202250512019e-06
"value6","clim_prec",5.39288446700397e-07,0.45384,2.37172470380114e-06,0.46837,2.92756585351644e-06,1.00139487493826e-05
"value5","clim_pdry",3.22205345674084e-06,0.40672,1.24529935058682e-05,0.42357,8.74557366829655e-06,3.38009823730707e-05
"value4","clim_pdmt",3.72279634938227e-06,0.40275,1.67846610767457e-05,0.41512,9.43108408510175e-06,3.9863570057271e-05
"value3","clim_pcld",8.98340126796821e-07,0.44076,3.37541568517067e-06,0.45913,3.79299164647547e-06,1.28265796036486e-05
"value2","clim_dnrg",2.38028260083013e-06,0.41496,1.52092448176426e-05,0.41792,7.5375615692954e-06,3.85300868713612e-05
"value1","site",0.274929738467756,0.028311,0.00289620367715275,0.24805,0.290203612827076,0.00423291306660786
