"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","redun",0.735726841633758,0.002741,0.014659364403413,0.18615,0.735726841633758,0.0244322740056884
"value9","FunRao",0.0114112700422526,0.14289,0.0110642461784739,0.19725,0.0228225400845053,0.0221284923569477
"value8","nbsp",0.652294694989789,0.0048797,0.0286701906191653,0.15908,0.724771883321987,0.0370894273450546
"value7","RaoQ",4.86307918864302e-05,0.32795,0.000158594094536268,0.3474,0.000162102639621434,0.000528646981787561
"value6","FDiv",0,1,0,1,0,0
"value5","FDis",1.37861465417278e-05,0.36564,8.42994060015035e-05,0.36721,6.89307327086392e-05,0.000421497030007518
"value4","regulation",0.115011829931919,0.064083,0.0333804846105492,0.16787,0.143764787414899,0.0370894273450546
"value3","LSPeak",0.0189874897073046,0.12416,0.0304850473609007,0.15656,0.0316458161788409,0.0370894273450546
"value2","HSMeanDur",0.0558452836842404,0.084329,0.0431039712021874,0.14219,0.079778976691772,0.0431039712021874
"value1","MDFMDFDry",0.0104333981663368,0.14617,0.00320468956809618,0.24433,0.0228225400845053,0.00801172392024045
