"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","richness",2.74444457326652e-11,0.65613,1.62306070239019e-10,0.66699,3.43055571658315e-10,2.02882587798774e-09
"value24","redun",0.00604955420066732,0.16601,0.012641382234117,0.19201,0.0136738290724176,0.0257100131541633
"value23","FunRao",0.00465924866914362,0.17543,0.000941642032081513,0.28816,0.0136738290724176,0.00470821016040757
"value22","simpson",0.00222797531392961,0.2017,8.09419366451155e-06,0.43556,0.011139876569648,5.05887104031972e-05
"value21","nbsp",5.374747781073e-11,0.64508,3.6910016900448e-10,0.65337,4.4789564842275e-10,3.075834741704e-09
"value20","FRic",0,1,0,1,0,0
"value19","CVAnnHSPeak",0.239170093755175,0.03283,0.00485298010806564,0.22888,0.271784197449063,0.0202207504502735
"value18","HSPeak",0.336286624023755,0.02203,0.0451747684516318,0.14022,0.336286624023755,0.0451747684516318
"value17","CV",0.27798361537179,0.027958,0.0112009432563745,0.19677,0.289566266012281,0.0257100131541633
"value16","soil_phc",0.00711039111765713,0.16015,0.00805954036738381,0.20956,0.0136738290724176,0.0251860636480744
"value15","soil_ece",0.00198635913557036,0.20574,0.00690644144048748,0.21549,0.011139876569648,0.0246658622874553
"value14","clim_tsea",0.00783902442973818,0.1566,0.0203691363181171,0.17299,0.0139982579102467,0.0274874794003858
"value13","clim_trng",0.0101816419436027,0.14706,0.0219899835203086,0.1699,0.0149730028582393,0.0274874794003858
"value12","clim_tmin",0.0311727319573133,0.10584,0.0239753659603128,0.16639,0.0410167525754122,0.0285421023337057
"value11","clim_tdry",0.0919828807654673,0.06612,0.0162134178084355,0.18214,0.109503429482699,0.0257100131541633
"value10","clim_tcld",0.0650595588400075,0.078727,0.0167747110425221,0.18079,0.0813244485500094,0.0257100131541633
"value9","clim_tavg",0.265083294560813,0.029482,0.0313617156937308,0.15539,0.28813401582697,0.0326684538476363
"value8","clim_pwrm",0.00650952849535556,0.16335,0.0122791704185934,0.19316,0.0136738290724176,0.0257100131541633
"value7","clim_pwmt",0.00646869959021081,0.16358,0.0114193902244088,0.19601,0.0136738290724176,0.0257100131541633
"value6","clim_pwet",0.00627304315304949,0.16469,0.0148573632513323,0.18562,0.0136738290724176,0.0257100131541633
"value5","clim_prec",0.00663554099224624,0.16266,0.0174828089448311,0.17913,0.0136738290724176,0.0257100131541633
"value4","clim_pdry",0.00961243662749028,0.14916,0.0275334404164258,0.16074,0.0149730028582393,0.0299276526265498
"value3","clim_pdmt",0.00953362056433602,0.14947,0.0158557129102002,0.18303,0.0149730028582393,0.0257100131541633
"value2","clim_pcld",0.00690903442961867,0.16119,0.0216763900070134,0.17048,0.0136738290724176,0.0274874794003858
"value1","clim_dnrg",0.0118128856600146,0.14162,0.0258270979036401,0.16336,0.0164067856389091,0.0293489748905001
