"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","exotics",0.00801856107992451,0.15578,0.00501093527115438,0.22767,0.0303939795955864,0.0221912847722551
"value10","richness",0.00882405859226701,0.15229,0.0137089814023991,0.18881,0.0303939795955864,0.0472198248304857
"value9","redun",2.13976148231986e-07,0.4768,1.13057909013498e-10,0.67281,1.32665211903831e-06,8.7619879485461e-10
"value8","FunRao",0,1,0,1,0,0
"value7","simpson",5.26070103384244e-18,0.83448,8.66231595031375e-17,0.83538,8.15408660245579e-17,1.34265897229863e-15
"value6","nbsp",0.00607901921353539,0.16583,0.00921726814300017,0.20437,0.0269213708027996,0.0357169140541257
"value5","RaoQ",3.79734200925303e-09,0.56655,1.77093647086493e-08,0.58134,2.9429400571711e-08,1.09798061193626e-07
"value4","FRic",0.00465924866914364,0.17543,0.0182206310983801,0.17747,0.0240727847905755,0.0513490512772531
"value3","FDiv",0.0114112700422526,0.14289,0.0156818997948089,0.18347,0.0353749371309832,0.0486138893639075
"value2","FDis",2.04187840243972e-12,0.69575,5.3743323893524e-12,0.71799,2.10994101585438e-11,5.55347680233081e-11
"value1","soil_awc",0.0151142602748205,0.13256,0.00402029966597423,0.23593,0.0425947335017669,0.0207715482742002
