"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","exotics",0.0304445129858064,0.1174,0.0323616264126409,0.16927,0.0436812577622439,0.035597789053905
"value32","redun",0.470833691449111,0.01377,0.0445965883330555,0.15474,0.501210058639376,0.0459902317184634
"value31","regulation",0,1,0,1,0,0
"value30","M_MaxM",0.0543236710906142,0.094003,0.0252656373886744,0.18031,0.0746950477495945,0.0287505528905606
"value29","C_MaxM",0.136170703791797,0.057491,0.00420615450564287,0.25602,0.172832047120358,0.00555212394744859
"value28","C_MinM",1.8115872819682e-07,0.51584,1.47350278262608e-06,0.51608,9.96373005082508e-07,3.0390994891663e-06
"value27","C_MDFM",0.000226129965074507,0.30407,0.00113663317522629,0.30682,0.000574022219035286,0.00163082151228119
"value26","PS10YrARI",0.151968372317747,0.053252,2.53409649816856e-11,0.73256,0.18573912172169,1.19464549199375e-10
"value25","PS2YrARI",0.00101524859949848,0.25014,1.69452891330596e-13,0.79598,0.00239308598453212,1.11838908278194e-12
"value24","PS1YrARI",7.60527937634372e-05,0.34112,1.94931229375061e-11,0.73632,0.000209145182849452,1.07212176156284e-10
"value23","BFI",4.90515136285556e-05,0.35553,5.05284194694728e-09,0.64392,0.000147154540885667,1.6674378424926e-08
"value22","CVAnnMRateFall",0.729310021775361,0.0031878,0.000200788769268315,0.36883,0.752100959955841,0.000315525208850209
"value21","CVAnnMRateRise",0.333143736920063,0.024665,0.0129861725024875,0.20927,0.379094597184899,0.0158719886141514
"value20","MRateFall",0.176916349085231,0.047453,0.00874550615974068,0.22599,0.208508554279023,0.0111000655104401
"value19","MRateRise",0.0156433172052773,0.14424,6.3524186574568e-08,0.59171,0.0252802827428837,1.61253704381596e-07
"value18","CVAnnLSPeak",4.36972568430745e-06,0.43001,5.76324203519101e-06,0.47905,1.60223275091273e-05,1.00098414295423e-05
"value17","CVAnnLSNum",8.85040176862355e-06,0.40914,7.12791343447583e-07,0.53471,2.92063258364577e-05,1.56814095558468e-06
"value16","LSPeak",2.76498662457683e-07,0.50519,7.08653551822887e-09,0.63735,1.30349369444337e-06,2.12596065546866e-08
"value15","CVAnnHSMeanDur",1.00821886165434e-07,0.53023,2.19507977365771e-08,0.6145,6.65424448691868e-07,6.03646937755869e-08
"value14","CVAnnHSPeak",0.00362759790575139,0.20193,1.75586064520934e-06,0.51147,0.00798071539265306,3.40843537011225e-06
"value13","CVAnnHSNum",3.51033781839947e-06,0.43635,1.37469297626631e-07,0.57431,1.44801435008978e-05,3.2403477297706e-07
"value12","MDFAnnHSNum",4.38411559532902e-08,0.54998,1.01502420233996e-15,0.84528,3.61689536614644e-07,1.11652662257395e-14
"value11","HSMeanDur",2.21797971823217e-14,0.78832,1.81249571537358e-18,0.8901,3.65966653508308e-13,2.99061793036641e-17
"value10","HSPeak",0.0103577917936599,0.16072,1.71518691177501e-09,0.66412,0.0189892849550431,6.28901867650837e-09
"value9","CVMDFDry",0.0188619177563428,0.13671,2.62263343863208e-05,0.43459,0.0282928766345142,4.32734517374293e-05
"value8","CVMDFWet",0.00838390796817536,0.16912,0.00275781675934658,0.2728,0.0162746448793992,0.00379199804410154
"value7","MDFMDFDry",5.76917406469357e-11,0.68095,2.58872573571104e-14,0.81568,6.34609147116293e-10,2.1356987319616e-13
"value6","MDFMDFWet",0.78930100123789,0.0019022,0.000309529158299709,0.35389,0.78930100123789,0.000464293737449563
"value5","CVAnnZer",0.365428272402618,0.021605,0.0497263471223384,0.14975,0.40197109964288,0.0497263471223384
"value4","MDFAnnZer",0.00455002613027671,0.19314,4.52293241950703e-06,0.48583,0.00938442889369572,8.29204276909623e-06
"value3","CV",0.0139867092632485,0.14872,7.13918039872478e-11,0.71715,0.0242927055624842,2.94491191447397e-10
"value2","clim_tsea",0.0160874526545624,0.14311,0.0427184051597939,0.15671,0.0252802827428837,0.0454744312991355
"value1","clim_psea",0.085521746306649,0.075805,0.0243998952241795,0.18185,0.112888705124777,0.0287505528905606
