"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","flowering.duration",0.785881520580846,0.0017766,0.0280140028624408,0.16003,0.785881520580846,0.0377205834262006
"value14","maximum.height",0.146129782735784,0.049617,5.46576629385309e-05,0.38044,0.199267885548796,0.000163972988815593
"value13","seed.mass",0.0125479464331332,0.1394,0.0458785197770844,0.13958,0.020913244055222,0.0490826179723308
"value12","SLA",0.255699297350656,0.030647,0.0301764667409605,0.15698,0.31962412168832,0.0377205834262006
"value11","redun",0.103125213575066,0.061999,1.29538216370266e-05,0.42246,0.154687820362599,4.85768311388496e-05
"value10","FunRao",2.92280690805586e-09,0.57184,2.7360870088473e-08,0.57236,1.46140345402793e-08,1.36804350442365e-07
"value9","simpson",0.000133633665981847,0.29631,0.000522778005598047,0.3083,0.000400900997945541,0.00112023858342439
"value8","RaoQ",4.13971985225272e-30,0.95596,4.74198316408434e-29,0.95847,3.10478988918954e-29,3.55648737306325e-28
"value7","FDiv",1.79824054926021e-05,0.35786,0.000103175017179702,0.36094,6.74340205972578e-05,0.000257937542949255
"value6","FDis",0,1,0,1,0,0
"value5","hydro.pc3",0.710101060195383,0.0033238,0.0490826179723308,0.13674,0.760822564495053,0.0490826179723308
"value4","regulation",0.00948771674193765,0.16421,0.0112795241436526,0.21527,0.0177894688911331,0.0187992069060877
"value3","C_MaxM",0.00502944737640718,0.17268,0.00193378332511238,0.26272,0.0107773872351582,0.00362584373458571
"value2","PS10YrARI",0.405637504156703,0.016524,0.0350424358199424,0.15081,0.468043274026965,0.0404335797922412
"value1","LSPeak",0.00378533523119902,0.18288,0.0154214698058935,0.18414,0.00946333807799754,0.0231322047088403
