"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","redun",0.423803806629901,0.015296,0.041888869803518,0.14339,0.423803806629901,0.041888869803518
"value10","FunRao",0.0308723911704112,0.1062,0.0204870277689693,0.17276,0.0424495378593154,0.0365852578622752
"value9","nbsp",0.330576354556509,0.02255,0.0266074602634729,0.16214,0.36363399001216,0.0365852578622752
"value8","RaoQ",1.62026001858194e-05,0.36092,1.27862711016167e-05,0.42283,6.60160793982766e-05,7.03244910588917e-05
"value7","FDiv",0,1,0,1,0,0
"value6","FDis",1.80043852904391e-05,0.35782,8.04673635867282e-05,0.36864,6.60160793982766e-05,0.000295046999818003
"value5","hydro.pc2",0.0221846223112946,0.11841,0.0353337465212283,0.15047,0.03486154934632,0.041888869803518
"value4","C_MaxM",0.0155136774317495,0.1316,0.0251885043637881,0.16438,0.0341300903498488,0.0365852578622752
"value3","LSPeak",0.00968193980118622,0.1489,0.00926185539582769,0.20418,0.0266253344532621,0.0254701023385262
"value2","HSMeanDur",0.0518895247868091,0.087031,0.0382253482723377,0.1472,0.0634205302949889,0.041888869803518
"value1","MDFMDFDry",0.0188045373388995,0.12451,0.0154692877270878,0.18402,0.0344749851213157,0.0340324329995931
