"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","FEve",0,1,0,1,0,0
"value11","regulation",0.00810101786925725,0.17048,0.0140093181794154,0.20603,0.0358759362781393,0.0620412662231256
"value10","C_MinM",0.00231264935736218,0.20039,0.0101699185409665,0.20054,0.0151829282773699,0.0566533829417048
"value9","M_MDFM",0.343170892475632,0.021417,0.0260130174747957,0.16306,0.967117969704055,0.0733094128835152
"value8","C_MDFM",0.00284351573409203,0.19307,0.0109651708919429,0.1976,0.0151829282773699,0.0566533829417048
"value7","PS1YrARI",0.0126650655145474,0.13906,0.0190668029327199,0.17565,0.0490771288688713,0.0628628340283166
"value6","MRateRise",0.141508567836745,0.050745,0.0286789925064777,0.15907,0.487418400326567,0.0740873973084008
"value5","CVAnnHSMeanDur",0.00181048835635881,0.20899,0.00106127150433915,0.28399,0.0151829282773699,0.0161836041612652
"value4","MDFAnnHSNum",0.000298325269358202,0.27027,0.00156615524141276,0.27027,0.00462404167505214,0.0161836041612652
"value3","HSMeanDur",0.00293863127949096,0.19191,0.00479360135347309,0.22934,0.0151829282773699,0.0371504104894164
"value2","MDFMDFDry",0.301508877307361,0.025393,0.0193717457666055,0.17501,0.934677519652818,0.0628628340283166
"value1","MDFMDFWet",0.656089670763566,0.0047668,0.0202783335575215,0.17317,1,0.0628628340283166
