"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","flowering.duration",0.041264145679035,0.095477,0.0360234794279796,0.14967,0.0639594258025042,0.0656898742510216
"value19","seed.mass",0.00619719780017106,0.16514,0.0156748718025919,0.18349,0.0368591949776286,0.0351352690188226
"value18","RaoQ",0.0213406731269399,0.11984,0.0580702134800723,0.12963,0.0623314288634709,0.0958818738910775
"value17","FRic",0,1,0,1,0,0
"value16","FDis",0.0194255298244214,0.12331,0.0587663098042088,0.12912,0.0623314288634709,0.0958818738910775
"value15","PC4",0.0321710600585656,0.10967,0.00096226299328466,0.29968,0.0623314288634709,0.00933870362127546
"value14","PC1",0.0243061880988809,0.12049,0.00210873952738478,0.27093,0.0623314288634709,0.00933870362127546
"value13","M_MaxM",0.00832304402720645,0.16157,0.0268038529448325,0.16939,0.0368591949776286,0.0519324650806131
"value12","C_MinM",0.0315047577073845,0.11048,0.0017821873870963,0.27719,0.0623314288634709,0.00933870362127546
"value11","M_MDFM",0.0355387611217695,0.10583,0.0701889010039268,0.12736,0.0639594258025042,0.108792796556087
"value10","C_MDFM",0.0310478991171599,0.11104,0.00692796790187487,0.22507,0.0623314288634709,0.0238630005509023
"value9","PS2YrARI",0.0383880096076155,0.10285,0.0203749454115256,0.18099,0.0639594258025042,0.0421082205171528
"value8","PS1YrARI",0.0267170811474144,0.11684,0.0158675408472102,0.19143,0.0623314288634709,0.0351352690188226
"value7","BFI",0.0411453052147511,0.10017,0.000342864926563893,0.33578,0.0639594258025042,0.00531440636174034
"value6","MRateRise",0.0229215698664662,0.12276,0.0116488345731258,0.20414,0.0623314288634709,0.0330670540740841
"value5","LSPeak",0.00568283384705313,0.17599,0.0128001499641616,0.20029,0.0368591949776286,0.0330670540740841
"value4","MDFAnnHSNum",0.00786721899666443,0.1637,0.00204884053765987,0.272,0.0368591949776286,0.00933870362127546
"value3","HSMeanDur",0.00769997479372826,0.16452,0.0118767637056353,0.20335,0.0368591949776286,0.0330670540740841
"value2","CVMDFDry",0.0282596064427834,0.11468,0.0019083351804753,0.27465,0.0623314288634709,0.00933870362127546
"value1","MDFMDFDry",0.00140711395849979,0.22744,0.00307459509197564,0.25669,0.0218102663567467,0.0119140559814056
