"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","flowering.duration",0.32306415659222,0.023253,0.00687923763889189,0.21564,0.381803094154442,0.00993667658951052
"value12","maximum.height",0.946433347400254,0.00010876,0.000507324763445225,0.30931,0.946433347400254,0.00109920365413132
"value11","SLA",0.830670639635271,0.0011012,0.00497890958807404,0.22792,0.899893192938211,0.00814276981562587
"value10","exotics",0.00801856107992451,0.15578,0.00501093527115438,0.22767,0.0127458624110523,0.00814276981562587
"value9","richness",0.00882405859226701,0.15229,0.0137089814023991,0.18881,0.0127458624110523,0.0162015234755625
"value8","redun",2.13976148231986e-07,0.4768,1.13057909013498e-10,0.67281,5.56337985403164e-07,3.67438204293869e-10
"value7","FunRao",0,1,0,1,0,0
"value6","simpson",5.26070103384244e-18,0.83448,8.66231595031375e-17,0.83538,3.41945567199759e-17,5.63050536770394e-16
"value5","nbsp",0.00607901921353539,0.16583,0.00921726814300017,0.20437,0.0112896071108514,0.0119824485859002
"value4","RaoQ",3.79734200925303e-09,0.56655,1.77093647086493e-08,0.58134,1.23413615300723e-08,4.60443482424882e-08
"value3","FRic",0.00465924866914364,0.17543,0.0182206310983801,0.17747,0.0100950387831446,0.0182206310983801
"value2","FDiv",0.0114112700422526,0.14289,0.0156818997948089,0.18347,0.0148346510549284,0.0169887247777096
"value1","FDis",2.04187840243972e-12,0.69575,5.3743323893524e-12,0.71799,8.84813974390547e-12,2.32887736871937e-11
