"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","flowering.duration",5.19814883484606e-08,0.51017,4.31203248499662e-07,0.51079,5.37142046267427e-07,4.45576690116318e-06
"value11","maximum.height",0.00767163850097826,0.15739,0.00658955998707025,0.21729,0.0297275991912907,0.0255345449498972
"value10","seed.mass",3.70970887999573e-06,0.40285,9.64723725601899e-06,0.43071,2.87502438199669e-05,7.47660887341472e-05
"value9","RaoQ",0,1,0,1,0,0
"value8","FEve",0.000639733483110726,0.24481,0.000473047255262762,0.31166,0.0039663475952865,0.00293289298262912
"value7","FRic",0.0213406731269399,0.11984,0.00419961497254743,0.2343,0.0735067629927929,0.0185982948784243
"value6","FDis",7.24603006080016e-39,0.98313,1.18610994008938e-38,0.98588,1.12313465942403e-37,1.83847040713854e-37
"value5","CVAnnHSPeak",0.042882946338115,0.098575,0.0970416462553306,0.11274,0.120851939680142,0.250690919492937
"value4","CVAnnHSNum",0.00414463492274158,0.18781,0.0127942451243691,0.20031,0.0214139471008315,0.0440690665394936
"value3","HSMeanDur",0.0478639439892564,0.094338,0.0696243194744267,0.12772,0.123648521972246,0.215835390370723
"value2","HSPeak",0.0325881673514695,0.10917,0.0780661865947583,0.12259,0.101023318789555,0.220004707676137
"value1","MDFMDFDry",0.00590487364772232,0.17455,0.00222378171493283,0.26894,0.0261501547256274,0.0114895388604863
