"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","wood.density",0.0403611269573443,0.096294,0.00816623723385965,0.20905,0.046733936476925,0.0128326585103509
"value21","flowering.duration",0.188118923487324,0.040878,0.0211191045268101,0.17153,0.19707696746291,0.0244536999784117
"value20","exotics",0,1,0,1,0,0
"value19","richness",0.0025758652528106,0.19658,0.00348263486377737,0.24126,0.00923670108872188,0.00696526972755473
"value18","redun",0.00962695977682008,0.14911,0.0288744489502325,0.15879,0.0192539195536402,0.0302494227097674
"value17","FunRao",0.00801856107992453,0.15578,0.0224804015532397,0.169,0.017640834375834,0.0247284417085636
"value16","simpson",0.00408439488383042,0.18016,0.0114574952170453,0.19588,0.00998407638269659,0.0142950361346527
"value15","nbsp",0.00341910248255361,0.18651,0.00328884728067216,0.24338,0.00940253182702242,0.00696526972755473
"value14","RaoQ",0.0118658239974044,0.14145,0.00993046563390753,0.20147,0.0200806252263767,0.0142950361346527
"value13","FDis",0.0394532492813846,0.097134,0.0392583404959185,0.14609,0.046733936476925,0.0392583404959185
"value12","regulation",0.0304445129858063,0.1174,0.00324126139899781,0.26643,0.0436193425151405,0.00696526972755473
"value11","M_MaxM",0.0331863587104602,0.10352,0.000548633841799611,0.30667,0.0436193425151405,0.00201165741993191
"value10","M_MDFM",0.52605762741084,0.0096392,0.0116959386556249,0.19507,0.52605762741084,0.0142950361346527
"value9","PS2YrARI",0.110471139740145,0.059531,0.0104329229286457,0.19955,0.12151825371416,0.0142950361346527
"value8","CVAnnBFI",0.000299290647627555,0.27016,0.00106914996852709,0.28373,0.00219479808260207,0.00336018561537084
"value7","MRateFall",0.00135371963675994,0.21912,3.90379055111704e-06,0.45528,0.00744545800217969,4.29416960622875e-05
"value6","MRateRise",0.00212545380114035,0.20336,2.73436553232912e-05,0.40103,0.00923670108872188,0.000200520139037469
"value5","CVAnnLSMeanDur",0.000171803200564304,0.28825,0.00047074940319553,0.31183,0.00188983520620734,0.00201165741993191
"value4","CVAnnLSNum",0.00293895034641151,0.1919,0.00598058911244206,0.22098,0.00923670108872188,0.0109644133728104
"value3","LSMeanDur",0.0337058555798813,0.10295,0.000186515040162171,0.34222,0.0436193425151405,0.00102583272089194
"value2","CVMDFDry",0.0282698779758757,0.10945,0.00186113755082762,0.2641,0.0436193425151405,0.00511812826477595
"value1","MDFAnnZer",0.0111183332436881,0.14384,0.00659977637087854,0.21723,0.0200806252263767,0.0111688523199483
