"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","wood.density",0.0164231962094013,0.1295,0.0465992313446085,0.13892,0.054743987364671,0.0497220633433658
"value9","flowering.duration",0,1,0,1,0,0
"value8","SLA",0.00552365746042819,0.1693,0.000109502291558533,0.35908,0.027618287302141,0.000547511457792667
"value7","FunRao",0.261824895091129,0.029881,0.000278899874994773,0.32918,0.374035564415899,0.000929666249982576
"value6","simpson",0.0650223125455791,0.078748,0.0225025928178818,0.16896,0.162555781363948,0.0450051856357637
"value5","nbsp",0.249070640501351,0.031502,0.0334371705495611,0.15275,0.374035564415899,0.0497220633433658
"value4","RaoQ",0.772003306958744,0.0020209,0.0405403251783382,0.14475,0.809606531512285,0.0497220633433658
"value3","FDis",0.809606531512285,0.0013977,0.00116571790510308,0.28071,0.809606531512285,0.00291429476275771
"value2","C_MaxM",0.118111298461691,0.057143,0.040748676233261,0.14454,0.236222596923381,0.0497220633433658
"value1","CVAnnBFI",0.409854436887889,0.016232,0.0497220633433658,0.13619,0.512318046109861,0.0497220633433658
