"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","flowering.duration",0.0238023513900291,0.11581,0.0237210103871362,0.16682,0.0819858770101003,0.0919189152501527
"value10","maximum.height",0.00591200581678185,0.16684,0.000603650250206465,0.30343,0.0267908828886696,0.00346698043211976
"value9","seed.mass",0.371893113770538,0.019028,0.0348257647197032,0.15107,1,0.10795987063108
"value8","richness",0.000119839750109409,0.29978,0.000671028470732857,0.29982,0.000743006450678336,0.00346698043211976
"value7","redun",0,1,0,1,0,0
"value6","FunRao",2.13976148231988e-07,0.4768,2.9114106447919e-09,0.61663,2.21108686506388e-06,3.00845766628496e-08
"value5","simpson",2.90166676781348e-19,0.85573,5.17903944280974e-18,0.85652,4.49758349011089e-18,8.02751113635509e-17
"value4","nbsp",2.65653831506282e-05,0.34627,0.000162352964463111,0.34665,0.000205881719417369,0.00125823547458911
"value3","FRic",0.00604955420066733,0.16601,0.0149620240845895,0.18534,0.0267908828886696,0.0662603923746106
"value2","MRateRise",0.26181942892364,0.029881,0.027615639143708,0.16062,0.811640229663284,0.0951205348283276
"value1","MDFMDFDry",0.0175110431449304,0.12714,0.0425902801372734,0.14269,0.0678552921866054,0.120027153114134
