"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","seed.mass",0.0907051394977424,0.066626,0.00290543909650382,0.24794,0.165403489672354,0.0111791487947031
"value23","richness",0,1,0,1,0,0
"value22","redun",0.0000390996750333934,0.33461,0.0000104685438207943,0.42843,0.000303022481508799,0.0000649049716889245
"value21","simpson",0.000580257930412239,0.2481,0.00000652944409968848,0.44144,0.0029979993071299,0.0000506031917725858
"value20","nbsp",4.57868157686228e-29,0.95063,1.64361488254541e-27,0.95063,7.09695644413654e-28,2.54760306794538e-26
"value19","FRic",5.56328418181088e-19,0.85121,1.86133873405928e-18,0.86351,5.74872698787124e-18,1.92338335852793e-17
"value18","FDiv",0.302837655401804,0.025255,0.009704372234518,0.20237,0.469398365872796,0.0234831923408428
"value17","PC4",0.782143400120264,0.0018407,0.0405930062915078,0.1447,1,0.0524326331265309
"value16","PC3",0.528171894552306,0.0095415,0.0217175332913679,0.1704,0.779682320529595,0.0354338701069687
"value15","PC1",0.00890575438591439,0.15195,0.0205262785521093,0.17268,0.0218454773722166,0.035350813061966
"value14","PS10YrARI",0.772116196336857,0.0020188,0.00630994640898453,0.21894,1,0.019560833867852
"value13","PS2YrARI",0.0587154346485032,0.082488,0.0134516553417953,0.18956,0.113761154631475,0.0264939064774244
"value12","PS1YrARI",0.112186506710081,0.05898,0.0365904973198799,0.14902,0.183041142526974,0.0515593371325581
"value11","BFI",0.00636869951774059,0.16415,0.00984779033648245,0.2018,0.0188188719042408,0.0234831923408428
"value10","MRateRise",0.00434453806085457,0.17794,0.00324555932749445,0.24386,0.014964519987388,0.0111791487947031
"value9","LSPeak",0.00667766422408544,0.16243,0.0193907084135639,0.17497,0.0188188719042408,0.035350813061966
"value8","CVAnnHSNum",0.00238461109138751,0.1993,0.00130929628093475,0.27662,0.0105604205475732,0.00579831210128247
"value7","MDFAnnHSNum",0.0091610066399618,0.15092,0.0131924816822558,0.19033,0.0218454773722166,0.0264939064774244
"value6","HSMeanDur",0.00320829989171117,0.18878,0.0136742743109287,0.18891,0.0124321620803808,0.0264939064774244
"value5","HSPeak",0.0336115734603885,0.10305,0.0253962215486349,0.16404,0.0694639184848029,0.0375643016057057
"value4","CVMDFDry",0.0118924195600272,0.14137,0.0254467849587039,0.16396,0.0263332147400601,0.0375643016057057
"value3","MDFMDFDry",0.000134086236960732,0.2962,0.000581608084163483,0.30469,0.00083133466915654,0.00300497510151133
"value2","MDFMDFWet",0.905693758552224,0.00033813,0.0388694717957549,0.14651,1,0.0523892880725392
"value1","CV",0.0974206890564576,0.064047,0.0084228589633958,0.20786,0.167780075597233,0.0234831923408428
