"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","redun",5.21095143294516e-24,0.91413,1.19185499476941e-29,0.96118,8.07697472106499e-23,1.84737524189259e-28
"value10","FunRao",3.65024531536081e-19,0.85415,3.95207997862615e-18,0.8584,3.77192015920617e-18,4.08381597791369e-17
"value9","simpson",0,1,0,1,0,0
"value8","wood.density",0.0388708506036237,0.097683,0.00406536554629944,0.23551,0.109545124428394,0.0180037617050404
"value7","flowering.duration",0.00701948987440089,0.16062,0.0165769439221047,0.18126,0.0241782429007142,0.0513885261585245
"value6","maximum.height",0.0283181638145962,0.10939,0.0367292306459877,0.14886,0.0877863078252482,0.103509650002329
"value5","seed.mass",0.000348424534856703,0.26514,0.000839326942388431,0.29214,0.00180019343009297,0.00650478380351034
"value4","RaoQ",0.000345719795335368,0.2654,0.00138637679544387,0.2746,0.00180019343009297,0.00716294677645999
"value3","FRic",0.00327136218873644,0.18809,0.00880751927710476,0.20613,0.0126765284813537,0.0303370108433608
"value2","FDis",0.000302148181232828,0.26985,0.00121262159125833,0.27932,0.00180019343009297,0.00716294677645999
"value1","MDFMDFDry",0.00325274615515886,0.19682,0.00752828347839025,0.22176,0.0126765284813537,0.0291720984787622
