"","Taxon","SLA","source"
"1401","Acacia fimbriata",8.88,"AUSTRAITS_dataset_5"
"2229","Acacia fimbriata",5.12,"Trevor L. Meers, Tina L. Bell, Neal J. Enright, Sabine Kasel. 2010.  Do generalisations of global tradeNAoffs in plant design apply to an Australian sclerophyllous flora? Australian Journal of Botany 58(4) 257–270"
"699","Acmena smithii",10.41,"AUSTRAITS_dataset_32"
"1266","Acmena smithii",8.84251481121231,"Gallagher_field_workPHD"
"1354","Acmena smithii",8.19672131147541,"AUSTRAITS_dataset_32"
"2230","Acmena smithii",11.76641221,"J_Lawson_FieldWork"
"1277","Acronychia oblongifolia",14.8898153662895,"Gallagher_field_workPHD"
"1288","Acronychia oblongifolia",12.0656370656371,"Gallagher_field_workPHD"
"1419","Acronychia oblongifolia",18.09,"AUSTRAITS_dataset_10"
"2231","Acronychia oblongifolia",13.47730413,"raw data from Gallagher RV & Leishman MR (2012). Contrasting patterns of community assembly in lianas and trees from temperate Australia. Oikos 121: 2026NA2035"
"746","Alangium villosum",14.7405660377358,"AUSTRAITS_dataset_39"
"931","Alangium villosum",15.616,"AUSTRAITS_dataset_28"
"1012","Alangium villosum",19.461,"AUSTRAITS_dataset_28"
"1021","Alangium villosum",19.214,"AUSTRAITS_dataset_28"
"1299","Alangium villosum",20.1491033649003,"Gallagher_field_workPHD"
"1310","Alangium villosum",17.4550532379124,"Gallagher_field_workPHD"
"380","Alphitonia excelsa",7.972,"AUSTRAITS_dataset_52"
"438","Alphitonia excelsa",7.57002271006813,"AUSTRAITS_dataset_43"
"446","Alphitonia excelsa",17.031,"AUSTRAITS_dataset_52"
"566","Alphitonia excelsa",9.897,"AUSTRAITS_dataset_8"
"850","Alphitonia excelsa",12.4069478908189,"AUSTRAITS_dataset_43"
"1388","Alphitonia excelsa",9.44,"AUSTRAITS_dataset_32"
"2232","Alphitonia excelsa",9.06472401,"J_Lawson_FieldWork"
"1321","Aphananthe philippinensis",13.9625802848366,"Gallagher_field_workPHD"
"147","Archirhodomyrtus beckleri",11.899,"AUSTRAITS_dataset_8"
"197","Archirhodomyrtus beckleri",13.155,"AUSTRAITS_dataset_8"
"388","Archirhodomyrtus beckleri",8.43881856540084,"AUSTRAITS_dataset_39"
"1160","Arytera divaricata",11.0180696342001,"Gallagher_field_workPHD"
"1171","Arytera divaricata",10.1317122593718,"Gallagher_field_workPHD"
"1332","Arytera divaricata",11.4311842706904,"Gallagher_field_workPHD"
"1343","Arytera divaricata",11.2233445566779,"Gallagher_field_workPHD"
