"","Taxon","leaf.area","source"
"404","Acacia bakeri",16.25,"AUSTRAITS_dataset_68"
"432","Acacia bakeri",17.063,"AUSTRAITS_dataset_49"
"312","Acmena smithii",11.91,"AUSTRAITS_dataset_68"
"358","Acmena smithii",14,"AUSTRAITS_dataset_68"
"539","Acmena smithii",20.166,"AUSTRAITS_dataset_30"
"540","Acmena smithii",20.17,"AUSTRAITS_dataset_68"
"663","Acmena smithii",24.75,"AUSTRAITS_dataset_68"
"691","Acmena smithii",25.3,"Gallagher_field_workPHD"
"714","Acmena smithii",25.872,"AUSTRAITS_dataset_49"
"761","Acmena smithii",27.85,"AUSTRAITS_dataset_68"
"1370","Acmena smithii",25.5,"AUSTRAITS_dataset_32"
"21","Acronychia oblongifolia",0.4,"AUSTRAITS_dataset_68"
"418","Acronychia oblongifolia",16.52,"AUSTRAITS_dataset_49"
"680","Acronychia oblongifolia",24.93,"Gallagher_field_workPHD"
"151","Ailanthus triphysa",6.5,"AUSTRAITS_dataset_68"
"183","Ailanthus triphysa",7.875,"AUSTRAITS_dataset_49"
"488","Alangium villosum",19,"AUSTRAITS_dataset_68"
"748","Alangium villosum",27.2,"AUSTRAITS_dataset_39"
"888","Alangium villosum",34.32,"Gallagher_field_workPHD"
"901","Alangium villosum",34.9,"Gallagher_field_workPHD"
"933","Alangium villosum",36.723,"AUSTRAITS_dataset_28"
"983","Alangium villosum",41.125,"AUSTRAITS_dataset_49"
"1014","Alangium villosum",44.307,"AUSTRAITS_dataset_28"
"1023","Alangium villosum",45.44,"AUSTRAITS_dataset_28"
"308","Alchornea ilicifolia",11.67,"AUSTRAITS_dataset_68"
"618","Alchornea ilicifolia",23.1,"AUSTRAITS_dataset_49"
"636","Alectryon tomentosus",23.625,"AUSTRAITS_dataset_49"
"95","Alphitonia excelsa",14.907,"AUSTRAITS_dataset_52"
"254","Alphitonia excelsa",20.928,"AUSTRAITS_dataset_52"
"383","Alphitonia excelsa",14.91,"AUSTRAITS_dataset_68"
"440","Alphitonia excelsa",17.16,"AUSTRAITS_dataset_43"
"442","Alphitonia excelsa",17.2,"AUSTRAITS_dataset_61"
"443","Alphitonia excelsa",17.255,"AUSTRAITS_dataset_49"
"449","Alphitonia excelsa",17.59,"AUSTRAITS_dataset_68"
"570","Alphitonia excelsa",20.93,"AUSTRAITS_dataset_68"
"598","Alphitonia excelsa",22.17,"AUSTRAITS_dataset_68"
"847","Alphitonia excelsa",17.587,"AUSTRAITS_dataset_52"
"852","Alphitonia excelsa",32.28,"AUSTRAITS_dataset_43"
"853","Alphitonia excelsa",32.3,"AUSTRAITS_dataset_45"
"1066","Alphitonia excelsa",51.975,"AUSTRAITS_dataset_56"
"36","Alyxia ruscifolia",2.03,"AUSTRAITS_dataset_56"
"75","Alyxia ruscifolia",3.97,"AUSTRAITS_dataset_68"
"97","Alyxia ruscifolia",4.9,"AUSTRAITS_dataset_49"
"135","Aphananthe philippinensis",6,"AUSTRAITS_dataset_68"
"207","Aphananthe philippinensis",8.75,"AUSTRAITS_dataset_49"
"315","Aphananthe philippinensis",12.01,"Gallagher_field_workPHD"
"14","Araucaria cunninghamii",0.219,"AUSTRAITS_dataset_49"
"23","Araucaria cunninghamii",0.75,"AUSTRAITS_dataset_68"
"532","Archidendron muellerianum",19.833,"AUSTRAITS_dataset_68"
"640","Archidendron muellerianum",23.8,"AUSTRAITS_dataset_49"
"149","Archirhodomyrtus beckleri",6.476,"AUSTRAITS_dataset_8"
"150","Archirhodomyrtus beckleri",6.48,"AUSTRAITS_dataset_68"
"179","Archirhodomyrtus beckleri",7.67,"AUSTRAITS_dataset_68"
"198","Archirhodomyrtus beckleri",8.64,"AUSTRAITS_dataset_68"
