"","Taxon","maximum.height","source","vine"
"1","Acacia bakeri",40,"AUSTRAITS_dataset_49",NA
"2","Acacia fimbriata",6,"AUSTRAITS_dataset_5",NA
"3","Acmena smithii",20,"AUSTRAITS_dataset_49",NA
"4","Acronychia oblongifolia",20,"AUSTRAITS_dataset_49",NA
"5","Ailanthus triphysa",45,"AUSTRAITS_dataset_49",NA
"6","Alangium villosum",20,"AUSTRAITS_dataset_39",NA
"7","Alchornea ilicifolia",7,"AUSTRAITS_dataset_49",NA
"8","Alectryon tomentosus",20,"AUSTRAITS_dataset_49",NA
"9","Alphitonia excelsa",35,"AUSTRAITS_dataset_52",NA
"10","Alyxia ruscifolia",6,"AUSTRAITS_dataset_56",NA
"11","Aphananthe philippinensis",35,"AUSTRAITS_dataset_49",NA
"12","Araucaria cunninghamii",50,"AUSTRAITS_dataset_49",NA
"13","Archidendron muellerianum",20,"AUSTRAITS_dataset_49",NA
"14","Archirhodomyrtus beckleri",10,"AUSTRAITS_dataset_49",NA
"15","Argophyllum nullumense",8,"AUSTRAITS_dataset_49",NA
"16","Arytera distylis",20,"AUSTRAITS_dataset_49",NA
"17","Arytera divaricata",30,"AUSTRAITS_dataset_49",NA
"18","Atalaya salicifolia",12,"AUSTRAITS_dataset_49",NA
"19","Atractocarpus chartaceus",4,"AUSTRAITS_dataset_49",NA
"20","Auranticarpa rhombifolia",40,"AUSTRAITS_dataset_49",NA
"21","Backhousia myrtifolia",35,"AUSTRAITS_dataset_49",NA
"22","Beilschmiedia obtusifolia",35,"AUSTRAITS_dataset_49",NA
"23","Breynia oblongifolia",8,"AUSTRAITS_dataset_49",NA
"24","Bridelia exaltata",35,"AUSTRAITS_dataset_49",NA
"25","Bridelia leichhardtii",15,"AUSTRAITS_dataset_49",NA
"26","Bursaria incana",10,"AUSTRAITS_dataset_49",NA
"27","Callistemon salignus",6,"AUSTRAITS_dataset_52",NA
"28","Canarium australasicum",40,"AUSTRAITS_dataset_49",NA
"29","Capparis arborea",10,"AUSTRAITS_dataset_49",NA
"31","Carex appressa",1.5,"AUSTRAITS_dataset_57",NA
"32","Carissa ovata",4,"AUSTRAITS_dataset_49",NA
"33","Castanospermum australe",35,"AUSTRAITS_dataset_49",NA
"34","Casuarina cunninghamiana",25,"AUSTRAITS_dataset_49",NA
"35","Casuarina littoralis",12,"AUSTRAITS_dataset_10",NA
"37","Celtis sinensis",15,"NSW flora online",NA
"38","Cinnamomum oliveri",25,"AUSTRAITS_dataset_49",NA
"41","Citronella moorei",40,"AUSTRAITS_dataset_49",NA
"42","Cleistanthus cunninghamii",25,"AUSTRAITS_dataset_49",NA
"44","Clerodendrum floribundum",13,"AUSTRAITS_dataset_52",NA
"45","Commersonia bartramia",25,"AUSTRAITS_dataset_49",NA
"46","Croton acronychioides",14,"AUSTRAITS_dataset_49",NA
"47","Cryptocarya bidwillii",20,"AUSTRAITS_dataset_49",NA
"48","Cryptocarya glaucescens",45,"AUSTRAITS_dataset_49",NA
"49","Cryptocarya laevigata",7,"AUSTRAITS_dataset_49",NA
"50","Cryptocarya macdonaldii",30,"AUSTRAITS_dataset_49",NA
"51","Cryptocarya obovata",45,"AUSTRAITS_dataset_49",NA
"52","Cryptocarya sclerophylla",15,"AUSTRAITS_dataset_49",NA
"53","Cupaniopsis anacardioides",15,"AUSTRAITS_dataset_49",NA
"54","Cupaniopsis newmanii",12,"AUSTRAITS_dataset_49",NA
"55","Cupaniopsis serrata",9,"AUSTRAITS_dataset_49",NA
"56","Cyclophyllum coprosmoides",10,"AUSTRAITS_dataset_49",NA
"57","Daphnandra apatela",35,"AUSTRAITS_dataset_49",NA
"58","Daphnandra tenuipes",20,"AUSTRAITS_dataset_49",NA
"60","Diospyros australis",20,"AUSTRAITS_dataset_10",NA
"61","Diospyros ellipticifolia",6,"AUSTRAITS_dataset_49",NA
"62","Diospyros fasciculosa",30,"AUSTRAITS_dataset_49",NA
"63","Diospyros geminata",10,"AUSTRAITS_dataset_49",NA
"64","Diospyros pentamera",27.8,"AUSTRAITS_dataset_52",NA
"65","Diploglottis australis",45,"AUSTRAITS_dataset_49",NA
"66","Dissiliaria baloghioides",35,"AUSTRAITS_dataset_49",NA
"67","Drypetes deplanchei",25,"AUSTRAITS_dataset_49",NA
"68","Dysoxylum rufum",30,"AUSTRAITS_dataset_49",NA
"69","Elaeocarpus grandis",34.7,"AUSTRAITS_dataset_32",NA
"70","Elaeocarpus obovatus",40,"AUSTRAITS_dataset_49",NA
"71","Elattostachys nervosa",40,"AUSTRAITS_dataset_49",NA
"72","Elattostachys xylocarpa",25,"AUSTRAITS_dataset_49",NA
"73","Endiandra discolor",25,"AUSTRAITS_dataset_49",NA
"74","Endiandra globosa",30,"AUSTRAITS_dataset_49",NA
