"","Taxon","seed.mass","source"
"1398","Acacia fimbriata",15.9625242089106,"AUSTRAITS_dataset_5"
"1533","Acacia fimbriata",30.4314623377158,"AUSTRAITS_dataset_17"
"1538","Acmena smithii",186.209049201881,"AUSTRAITS_dataset_17"
"1556","Alchornea ilicifolia",19.8056604531859,"AUSTRAITS_dataset_17"
"1559","Alectryon tomentosus",13.5305105862629,"AUSTRAITS_dataset_17"
"1563","Alphitonia excelsa",22.1274976124458,"AUSTRAITS_dataset_17"
"1569","Alyxia ruscifolia",122.01308547182,"AUSTRAITS_dataset_17"
"1572","Aphananthe philippinensis",28.8403182713047,"AUSTRAITS_dataset_17"
"1627","Callerya megasperma",7385.3471161391,"AUSTRAITS_dataset_17"
"1631","Callistemon salignus",0.0483264695868348,"AUSTRAITS_dataset_17"
"1635","Callistemon viminalis",0.395534089709433,"AUSTRAITS_dataset_17"
"1655","Castanospermum australe",8665.64104483544,"AUSTRAITS_dataset_17"
"1715","Cryptocarya triplinervis",229.091923408,"AUSTRAITS_dataset_4"
"1723","Cupaniopsis anacardioides",171.775995291776,"AUSTRAITS_dataset_17"
"2437","Diospyros ellipticifolia",38.4701665346167,"AUSTRAITS_dataset_49"
"1759","Elaeocarpus grandis",38.382193612063,"AUSTRAITS_dataset_17"
"1774","Endiandra globosa",20585.2752053774,"AUSTRAITS_dataset_17"
"1784","Eupomatia laurina",14.1224721017651,"AUSTRAITS_dataset_17"
"1822","Flagellaria indica",18.4279940173932,"AUSTRAITS_dataset_17"
"1856","Glochidion ferdinandi",2.46467673086565,"AUSTRAITS_dataset_17"
"1859","Grevillea robusta",14.2067689902505,"AUSTRAITS_dataset_17"
"1897","Hymenosporum flavum",6.7451208425893,"AUSTRAITS_dataset_17"
"1904","Jagera pseudorhus",38.3563141775809,"AUSTRAITS_dataset_17"
"1929","Lophostemon confertus",8.9202493587103,"AUSTRAITS_dataset_17"
"1949","Mallotus claoxyloides",62.860363750646,"AUSTRAITS_dataset_17"
"1951","Mallotus philippensis",18.6005182185278,"AUSTRAITS_dataset_17"
"1960","Melaleuca bracteata",0.0640340541056511,"AUSTRAITS_dataset_17"
"1966","Melaleuca quinquenervia",0.0875269524561155,"AUSTRAITS_dataset_17"
"1973","Melia azedarach",22.1274976124458,"AUSTRAITS_dataset_17"
"2043","Pilidiostigma rhytispermum",60.1250786080776,"AUSTRAITS_dataset_4"
"2050","Pittosporum undulatum",13.7846171226935,"AUSTRAITS_dataset_17"
"2057","Planchonella australis",802.356788721773,"AUSTRAITS_dataset_17"
"2060","Polyscias elegans",5.22078281333328,"AUSTRAITS_dataset_17"
"2078","Psychotria loniceroides",10.0753431241169,"AUSTRAITS_dataset_17"
"2110","Rubus rosifolius",0.799136442551484,"AUSTRAITS_dataset_17"
"2121","Schefflera actinophylla",11.4961514728156,"AUSTRAITS_dataset_17"
"2142","Stephania japonica",23.5603333675949,"AUSTRAITS_dataset_17"
"2158","Synoum glandulosum",249.515264182545,"AUSTRAITS_dataset_17"
"2166","Syzygium australe",212.63783817181,"AUSTRAITS_dataset_17"
"2172","Syzygium luehmannii",22.0074199833421,"AUSTRAITS_dataset_17"
"2181","Syzygium oleosum",180.151792521928,"AUSTRAITS_dataset_17"
"429","Acacia bakeri",70.686,"AUSTRAITS_dataset_49"
"1531","Acacia bakeri",39.793,"AUSTRAITS_dataset_53"
"1535","Acacia fimbriata",17,"AUSTRAITS_dataset_53"
"1542","Acmena smithii",173,"AUSTRAITS_dataset_53"
"1543","Acmena smithii",360.47,"Gallagher_field_workPHD"
"1416","Acronychia oblongifolia",21.67,"AUSTRAITS_dataset_10"
"1547","Acronychia oblongifolia",15.38,"Gallagher_field_workPHD"
"2268","Acronychia oblongifolia",5.882352941,"Floyd 1989"
"180","Ailanthus triphysa",37.699,"AUSTRAITS_dataset_49"
"1555","Alangium villosum",191.78,"Gallagher_field_workPHD"
"1558","Alchornea ilicifolia",19.5,"AUSTRAITS_dataset_53"
"1561","Alectryon tomentosus",33.89,"AUSTRAITS_dataset_53"
"1419","Alphitonia excelsa",18.2,"AUSTRAITS_dataset_52"
"1571","Alyxia ruscifolia",163.774,"AUSTRAITS_dataset_53"
"1577","Aphananthe philippinensis",44.108,"AUSTRAITS_dataset_53"
"1586","Archirhodomyrtus beckleri",1.495,"AUSTRAITS_dataset_53"
"1587","Ardisia crenata",221,"AUSTRAITS_dataset_53"
"1589","Aristolochia elegans",2.104,"AUSTRAITS_dataset_53"
"1592","Arytera divaricata",59.7,"AUSTRAITS_dataset_53"
"1596","Atalaya salicifolia",33.27,"AUSTRAITS_dataset_53"
"77","Backhousia myrtifolia",13.006,"AUSTRAITS_dataset_10"
"1606","Backhousia myrtifolia",8.821,"AUSTRAITS_dataset_53"
"1610","Beilschmiedia obtusifolia",384,"Gallagher_field_workPHD"
"24","Breynia oblongifolia",7.828,"AUSTRAITS_dataset_10"
"1619","Breynia oblongifolia",5.66,"AUSTRAITS_dataset_53"
"59","Bursaria incana",3.142,"AUSTRAITS_dataset_49"
"1622","Bursaria incana",2.712,"AUSTRAITS_dataset_53"
"1624","Calamus muelleri",211.85,"Gallagher_field_workPHD"
"1625","Calamus muelleri",676,"Gallagher_field_workPHD"
"1638","Callistemon viminalis",0.352,"AUSTRAITS_dataset_53"
"1644","Canarium australasicum",678.88,"AUSTRAITS_dataset_53"
"634","Capparis arborea",47.124,"AUSTRAITS_dataset_49"
"1647","Capparis arborea",50.98,"Gallagher_field_workPHD"
"457","Capparis velutina",47.124,"AUSTRAITS_dataset_49"
"513","Capparis velutina",31.416,"AUSTRAITS_dataset_49"
"922","Carex appressa",1.001,"AUSTRAITS_dataset_10"
"1650","Carex appressa",0.83,"AUSTRAITS_dataset_53"
"1653","Carissa ovata",50.76,"AUSTRAITS_dataset_6"
"999","Carronia multisepala",62.832,"AUSTRAITS_dataset_49"
"810","Castanospermum australe",23561.945,"AUSTRAITS_dataset_49"
"1427","Castanospermum australe",7722.17,"AUSTRAITS_dataset_52"
"1428","Castanospermum australe",14000,"AUSTRAITS_dataset_52"
"1664","Casuarina cunninghamiana",1.57,"AUSTRAITS_dataset_53"
"2262","Casuarina cunninghamiana",0.631,"Moles 2004 Seed database"
"1399","Casuarina littoralis",3.119,"AUSTRAITS_dataset_10"
"43","Cayratia clematidea",12.31,"AUSTRAITS_dataset_10"
"1670","Cayratia clematidea",27.923,"AUSTRAITS_dataset_6"
"1672","Cayratia clematidea",33.19,"Gallagher_field_workPHD"
"2441","Celtis sinensis",47.44,"http://onlinelibrary.wiley.com/doi/10.1111/j.1438-8677.2011.00528.x/full"
"1674","Cestrum nocturnum",3.236,"AUSTRAITS_dataset_53"
"1432","Cinnamomum camphora",77,"AUSTRAITS_dataset_52"
"1675","Cinnamomum camphora",108,"AUSTRAITS_dataset_53"
"1680","Cissus antarctica",65.4,"AUSTRAITS_dataset_53"
"47","Cissus hypoglauca",38.058,"AUSTRAITS_dataset_10"
"1434","Cissus hypoglauca",36.11,"AUSTRAITS_dataset_52"
"1685","Cissus hypoglauca",39.11,"AUSTRAITS_dataset_53"
"22","Clematis aristata",2.964,"AUSTRAITS_dataset_10"
"273","Clematis aristata",12.566,"AUSTRAITS_dataset_49"
"1696","Clematis aristata",0.295,"AUSTRAITS_dataset_53"
"1697","Clematis aristata",0.29,"AUSTRAITS_dataset_6"
"1698","Clematis aristata",3.85,"Gallagher_field_workPHD"
"1438","Clerodendrum floribundum",43.7,"AUSTRAITS_dataset_52"
"1439","Commersonia bartramia",13,"AUSTRAITS_dataset_52"
"1703","Commersonia bartramia",6,"AUSTRAITS_dataset_53"
"641","Cryptocarya glaucescens",323.99,"AUSTRAITS_dataset_10"
"1716","Cryptocarya triplinervis",281.281,"AUSTRAITS_dataset_53"
"1717","Cryptocarya triplinervis",281.28,"Gallagher_field_workPHD"
