"","Taxon","wood.density","source"
"432","Acacia bakeri",0.774,"AUSTRAITS_dataset_49"
"1533","Acacia bakeri",0.771,"AUSTRAITS_dataset_34"
"539","Acmena smithii",0.75,"AUSTRAITS_dataset_30"
"714","Acmena smithii",0.53,"AUSTRAITS_dataset_49"
"1543","Acmena smithii",0.662,"AUSTRAITS_dataset_33"
"418","Acronychia oblongifolia",0.5375,"AUSTRAITS_dataset_49"
"1551","Ailanthus triphysa",0.375,"AUSTRAITS_dataset_34"
"1552","Ailanthus triphysa",0.366,"AUSTRAITS_dataset_34"
"748","Alangium villosum",0.54,"AUSTRAITS_dataset_39"
"933","Alangium villosum",0.545,"AUSTRAITS_dataset_28"
"983","Alangium villosum",0.57,"AUSTRAITS_dataset_49"
"1014","Alangium villosum",0.485,"AUSTRAITS_dataset_28"
"1023","Alangium villosum",0.594,"AUSTRAITS_dataset_28"
"1556","Alangium villosum",0.607,"AUSTRAITS_dataset_34"
"442","Alphitonia excelsa",0.69,"AUSTRAITS_dataset_61"
"443","Alphitonia excelsa",0.562,"AUSTRAITS_dataset_49"
"854","Alphitonia excelsa",0.5,"AUSTRAITS_dataset_61"
"1568","Alphitonia excelsa",0.575,"AUSTRAITS_dataset_34"
"1569","Alphitonia excelsa",0.663,"AUSTRAITS_dataset_34"
"2232","Alphitonia excelsa",0.820059734,"Lawson_field_work"
"207","Aphananthe philippinensis",0.593,"AUSTRAITS_dataset_49"
"1577","Aphananthe philippinensis",0.612,"AUSTRAITS_dataset_34"
"1578","Aphananthe philippinensis",0.62,"AUSTRAITS_dataset_34"
"1579","Aphananthe philippinensis",0.5,"AUSTRAITS_dataset_34"
"14","Araucaria cunninghamii",0.437,"AUSTRAITS_dataset_49"
"1582","Araucaria cunninghamii",0.441,"AUSTRAITS_dataset_34"
"1583","Araucaria cunninghamii",0.448,"AUSTRAITS_dataset_34"
"1584","Araucaria cunninghamii",0.445,"AUSTRAITS_dataset_34"
"1585","Araucaria cunninghamii",0.482,"AUSTRAITS_dataset_34"
"1586","Araucaria cunninghamii",0.439,"AUSTRAITS_dataset_34"
